ruta,tipo,extension,tamano_bytes,carpeta_top,capa_inferida,uso_inferido
"content/GUIA-PARA-AGENTES-IA.md","GUIA-PARA-AGENTES-IA.md","md",2987,"GUIA-PARA-AGENTES-IA.md","documentacion","doc_gobernanza"
"content/INDICE-DOCUMENTAL.md","INDICE-DOCUMENTAL.md","md",3152,"INDICE-DOCUMENTAL.md","documentacion","doc_gobernanza"
"content/MANIFIESTO-SANEAMIENTO-BETA.md","MANIFIESTO-SANEAMIENTO-BETA.md","md",1304,"MANIFIESTO-SANEAMIENTO-BETA.md","documentacion","doc_gobernanza"
"content/README.md","README.md","md",1745,"README.md","documentacion","doc_gobernanza"
"content/REVISION-MD-CONTENT.md","REVISION-MD-CONTENT.md","md",16273,"REVISION-MD-CONTENT.md","documentacion","doc_gobernanza"
"content/items/README.md","items","md",1285,"items","documentacion","doc_gobernanza"
"content/items/beta-v1/README.md","items","md",313,"items","documentacion","doc_gobernanza"
"content/items/beta-v1/competencias_ciudadanas/CEOL_B02_I01.json","items","json",3662,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/CEOL_B02_I05.json","items","json",3632,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/CEOL_B04_I02.json","items","json",4263,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/CEOL_B04_I04.json","items","json",4029,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/CEOL_B09_I01.json","items","json",3452,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/DIL_B06_I02.json","items","json",3394,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/DIL_B06_I03.json","items","json",3561,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/DIL_B06_I04.json","items","json",3462,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/DIL_B07_I02.json","items","json",3526,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/MTV_B08_I06.json","items","json",3325,"items","pregunta_json","item"
"content/items/beta-v1/competencias_ciudadanas/MTV_B08_I13.json","items","json",3219,"items","pregunta_json","item"
"content/items/beta-v1/gestion/CB08_I02.json","items","json",3391,"items","pregunta_json","item"
"content/items/beta-v1/gestion/CB08_I03.json","items","json",3302,"items","pregunta_json","item"
"content/items/beta-v1/gestion/CB09_I01.json","items","json",3271,"items","pregunta_json","item"
"content/items/beta-v1/gestion/CB12_I01.json","items","json",2446,"items","pregunta_json","item"
"content/items/beta-v1/gestion/CEOL_B02_I06.json","items","json",3613,"items","pregunta_json","item"
"content/items/beta-v1/gestion/CEOL_B03_I05.json","items","json",3497,"items","pregunta_json","item"
"content/items/beta-v1/gestion/GCM-DIR-GES-PEI-0001.json","items","json",3463,"items","pregunta_json","item"
"content/items/beta-v1/gestion/gestion-liderazgo-apropiacion-pei-001.json","items","json",3483,"items","pregunta_json","item"
"content/items/beta-v1/gestion/item-ges-0001.json","items","json",6310,"items","pregunta_json","item"
"content/items/beta-v1/gestion/MTV_B08_I08.json","items","json",3151,"items","pregunta_json","item"
"content/items/beta-v1/lectura_critica/lectura-critica-analisis-argumentativo-001.json","items","json",3462,"items","pregunta_json","item"
"content/items/beta-v1/lectura_critica/lectura-critica-analisis-argumentativo-002.json","items","json",3470,"items","pregunta_json","item"
"content/items/beta-v1/lectura_critica/lectura-critica-estructura-textual-001.json","items","json",3200,"items","pregunta_json","item"
"content/items/beta-v1/lectura_critica/lectura-critica-interpretacion-textual-001.json","items","json",3298,"items","pregunta_json","item"
"content/items/beta-v1/matematicas/matematicas-analisis-datos-002.json","items","json",2803,"items","pregunta_json","item"
"content/items/beta-v1/matematicas/matematicas-resolucion-problemas-001.json","items","json",2820,"items","pregunta_json","item"
"content/items/beta-v1/matematicas/matematicas-resolucion-problemas-002.json","items","json",2762,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/CB04_I01.json","items","json",3750,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/CEOL_B02_I07.json","items","json",3811,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/CEOL_B03_I02.json","items","json",3356,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/CEOL_B10_I02.json","items","json",3609,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/CEOL_B10_I03.json","items","json",3792,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/CEOL_B10_I04.json","items","json",3879,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B02_I02.json","items","json",3478,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B02_I06.json","items","json",3392,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B03_I04.json","items","json",2808,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B04_I01.json","items","json",3781,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B04_I03.json","items","json",3595,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B04_I05.json","items","json",3316,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/DIL_B05_I01.json","items","json",2768,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/EIP_B02_I05.json","items","json",3369,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/IDD_B15_I01.json","items","json",2473,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/NFL_B03_I01.json","items","json",3009,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/NFL_B03_I02.json","items","json",2822,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/NFL_B03_I05.json","items","json",3077,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/NFL_B07_I01.json","items","json",3110,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/NFL_B08_I01.json","items","json",3116,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/normatividad-convivencia-escolar-001.json","items","json",3492,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/normatividad-convivencia-escolar-002.json","items","json",3514,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/normatividad-evaluacion-normativa-001.json","items","json",3470,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/normatividad-funcion-docente-001.json","items","json",3548,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/normatividad-inclusion-001.json","items","json",3444,"items","pregunta_json","item"
"content/items/beta-v1/normatividad/PPDC_B06_I01.json","items","json",3240,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CB01_I02.json","items","json",3486,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CB01_I03.json","items","json",3549,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CB13_I01.json","items","json",2919,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CB13_I02.json","items","json",2995,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CB14_I03.json","items","json",3705,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CB15_I03.json","items","json",3344,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CEOL_B06_I03.json","items","json",3463,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CEOL_B06_I04.json","items","json",3413,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/CEOL_B07_I01.json","items","json",2986,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B01_I02.json","items","json",3253,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B01_I04.json","items","json",3444,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B03_I01.json","items","json",3503,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B03_I03.json","items","json",3711,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B05_I01.json","items","json",3511,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B06_I01.json","items","json",3390,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B06_I02.json","items","json",3392,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B06_I03.json","items","json",3393,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EFCC_B06_I05.json","items","json",3440,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B01_I02.json","items","json",2651,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B01_I03.json","items","json",2460,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B01_I04.json","items","json",2513,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B01_I05.json","items","json",2660,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B04_I02.json","items","json",3725,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B04_I03.json","items","json",3328,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B05_I01.json","items","json",2183,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B05_I02.json","items","json",3011,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B05_I03.json","items","json",2778,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B05_I04.json","items","json",2602,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B06_I01.json","items","json",2865,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/EIP_B06_I02.json","items","json",2892,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/GA02_B03_I01.json","items","json",3424,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/GA02_B03_I02.json","items","json",3344,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/GA02_B03_I04.json","items","json",3356,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B04_I05.json","items","json",3267,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B04_I07.json","items","json",3346,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B06_I05.json","items","json",3238,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B07_I01.json","items","json",3266,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B07_I03.json","items","json",3390,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B07_I04.json","items","json",3297,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B12_I01.json","items","json",2845,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B12_I02.json","items","json",3727,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B12_I03.json","items","json",3613,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/IDD_B12_I05.json","items","json",3699,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/MTV_B22_I07.json","items","json",3504,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/MTV_B22_I08.json","items","json",3518,"items","pregunta_json","item"
"content/items/beta-v1/pedagogia/NFL_B08_I04.json","items","json",3230,"items","pregunta_json","item"
"content/items/no-beta-v1/README.md","items","md",1313,"items","documentacion","doc_gobernanza"
"content/items/no-beta-v1/banco-operacional-previo/README.md","items","md",645,"items","documentacion","doc_gobernanza"
"content/items/no-beta-v1/banco-operacional-previo/Aprendizaje significativo Ausubel/MTV_B22_I07.json","items","json",2934,"items","pregunta_json","item"
"content/items/no-beta-v1/banco-operacional-previo/Aprendizaje significativo Ausubel/MTV_B22_I08.json","items","json",2948,"items","pregunta_json","item"
"content/items/no-beta-v1/banco-operacional-previo/competencias_ciudadanas/ciudadanas-participacion-001.md","items","md",1312,"items","documentacion","doc_gobernanza"
