tipo,id_item,ruta,descripcion,accion_tomada
MIGRACION_ESTANDAR,MTV_B22_I07,content/items/pedagogia/MTV_B22_I07.json,Estructura inicial reducida en stand-by,Migrado a macrodominio plano e inyectados metadatos analiticos de 19 campos.
MIGRACION_ESTANDAR,MTV_B22_I08,content/items/pedagogia/MTV_B22_I08.json,Estructura inicial reducida en stand-by,Migrado a macrodominio plano e inyectados metadatos analiticos de 19 campos.
MIGRACION_ESTANDAR,CB01_I02,content/items/pedagogia/CB01_I02.json,Estructura con fuga taxonomica tematica,Aplanado a carpeta raiz de pedagogia con esquema de datos enriquecido.
MIGRACION_ESTANDAR,CB01_I03,content/items/pedagogia/CB01_I03.json,Estructura con fuga taxonomica tematica,Aplanado a carpeta raiz de pedagogia con esquema de datos enriquecido.
MIGRACION_ESTANDAR,EFCC_B03_I01,content/items/pedagogia/EFCC_B03_I01.json,Ubicacion redundante previa,Saneado y adaptado al perfil curricular de coordinador.
MIGRACION_ESTANDAR,EFCC_B03_I03,content/items/pedagogia/EFCC_B03_I03.json,Ubicacion redundante previa,Saneado y adaptado al instrumento de rubricas analiticas.
MIGRACION_ESTANDAR,IDD_B04_I05,content/items/pedagogia/IDD_B04_I05.json,Estructura original sin retroalimentacion de distractores,Reconstruido pedagogicamente con el corpus analitico para el motor de IA.
MIGRACION_ESTANDAR,IDD_B04_I07,content/items/pedagogia/IDD_B04_I07.json,Estructura original sin retroalimentacion de distractores,Reconstruido pedagogicamente con el corpus analitico para el motor de IA.
MIGRACION_ESTANDAR,EFCC_B01_I02,content/items/pedagogia/EFCC_B01_I02.json,Estructura original sin justificacion analitica,Se reescribieron las alternativas para asegurar distractores plausibles y situados.
MIGRACION_ESTANDAR,EFCC_B01_I04,content/items/pedagogia/EFCC_B01_I04.json,Estructura original sin de justificacion analitica,Se reescribieron las alternativas para asegurar distractores plausibles y situados.
