"id_item","estado_beta","prioridad","area_canonica","subarea","perfil_sugerido","tipo_item","aprovechamiento_opec","ruta_origen","lote","notas","fuente_backlog"
"NFL_B08_I01","PILOTAJE_CON_AJUSTE","90","normatividad","Ajustes razonables y barreras","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I01.json","L039","La igualdad material exige remover barreras con apoyos pertinentes, no uniformar el trato ni vaciar la experiencia educativa de propósito pedagógico. / La igualdad material exige responder a barreras reales con apoyos y ajustes razonables; no equivale ni a uniformidad ni a renuncia al aprendizaje.","remanufactura/deuda-remanufactura-total.csv"
"GA02_B03_I03","PILOTAJE_CON_AJUSTE","90","pedagogia","didactica_y_planeacion","orientador","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I03.json","L043","El PIAR requiere articulación interdisciplinaria y corresponsabilidad.","remanufactura/deuda-remanufactura-total.csv"
"MTV_B22_I02","PILOTAJE_CON_AJUSTE","90","pedagogia","aprendizaje_significativo","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I02.json","L047","La opción A es la mejor respuesta porque la secuencia parte de experiencias conocidas para enlazar el nuevo contenido con significados ya disponibles en los estudiantes.","remanufactura/deuda-remanufactura-total.csv"
"MTV_B22_I06","PILOTAJE_CON_AJUSTE","90","pedagogia","aprendizaje_significativo","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I06.json","L047","La opción A es la mejor respuesta porque la docente parte de una concepción previa y la somete a contraste con evidencia para favorecer comprensión más elaborada.","remanufactura/deuda-remanufactura-total.csv"
"MTV_B22_I09","PILOTAJE_CON_AJUSTE","90","pedagogia","aprendizaje_significativo","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I09.json","L047","La opción B es la mejor porque parte de situaciones familiares que ayudan a enlazar el nuevo concepto con experiencias previas antes de avanzar a la formalización.","remanufactura/deuda-remanufactura-total.csv"
"NFL_B08_I03","PILOTAJE_CON_AJUSTE","75","normatividad","Igualdad formal versus igualdad material","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I03.json","L039","La igualdad material obliga a considerar las barreras reales de acceso y participación; por eso un trato idéntico puede producir exclusión cuando niega ajustes necesarios.","remanufactura/deuda-remanufactura-total.csv"
"EIP_B07_I01","PILOTAJE_CON_AJUSTE","75","pedagogia","Comprension conceptual en secundaria","secundaria_media","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Pensamiento científico y didáctica en básica secundaria/EIP_B07_I01.json","L043","La opcion B es la unica que cuestiona la ausencia de indagacion y sentido fenomenico sin caer en negaciones caricaturescas del conocimiento cientifico o del uso de formulas.","remanufactura/deuda-remanufactura-total.csv"
"EIP_B07_I02","PILOTAJE_CON_AJUSTE","75","pedagogia","Indagacion experimental","secundaria_media","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Pensamiento científico y didáctica en básica secundaria/EIP_B07_I02.json","L043","La opcion A es la unica que integra observacion, relacion variable-fenomeno y construccion explicativa. Las otras minimizan el papel del analisis o reducen la actividad a motivacion superficial.","remanufactura/deuda-remanufactura-total.csv"
"EIP_B07_I03","PILOTAJE_CON_AJUSTE","75","pedagogia","Ajuste metodologico","secundaria_media","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Pensamiento científico y didáctica en básica secundaria/EIP_B07_I03.json","L043","La opcion B es la unica que reorienta la metodologia hacia indagacion, evidencia y transferencia. Las otras respuestas profundizan justo el problema descrito.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B06_I01","PILOTAJE_CON_AJUSTE","75","pedagogia","participacion en el mismo proposito de aprendizaje","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I01.json","L039","La opcion A mantiene el nucleo de la educacion inclusiva: mismo proposito formativo, participacion y apoyos pertinentes. Una tarea paralela sin valor curricular compartido produce segregacion encubierta.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B06_I02","PILOTAJE_CON_AJUSTE","75","pedagogia","uso de apoyos visuales sin aislar al estudiante","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I02.json","L039","Registro corregido desde L020-A con trazabilidad de lote verificable. / La opcion C traduce el principio del DUA: planear desde el inicio multiples formas de acceso y expresion sin romper el objetivo compartido ni aislar al estudiante.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B07_I02","PILOTAJE_CON_AJUSTE","75","pedagogia","transformacion de la ensenanza frente a diversidad","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I02.json","L039","La opcion A recoge el principio de adaptabilidad curricular: el sistema educativo se transforma para remover barreras y ampliar acceso, participacion y aprendizaje.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B11_I01","PILOTAJE_CON_AJUSTE","75","pedagogia","Mediacion ante errores procedimentales en matematicas","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Error, conflicto cognitivo y reestructuración de esquemas/IDD_B11_I01.json","L047","La opcion A obliga a hacer visible el significado de la fraccion y confronta el procedimiento errado con una representacion que permite revisarlo. No castiga ni reemplaza la actividad cognitiva del estudiante.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B11_I03","PILOTAJE_CON_AJUSTE","75","pedagogia","Contraste empirico de concepciones intuitivas","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Error, conflicto cognitivo y reestructuración de esquemas/IDD_B11_I03.json","L047","La opcion A no se limita a nombrar la teoria correcta: hace chocar la regla intuitiva con una evidencia incompatible y obliga a revisar la explicacion. Ese es el nucleo del conflicto cognitivo formativo.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B11_I04","PILOTAJE_CON_AJUSTE","75","pedagogia","Uso de errores colectivos para ajustar la enseñanza","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Error, conflicto cognitivo y reestructuración de esquemas/IDD_B11_I04.json","L047","Cuando el error es colectivo, la lectura formativa apunta a revisar mediacion, representaciones y secuencia de aprendizaje. La opcion A convierte el resultado en informacion para intervenir, no solo para clasificar.","remanufactura/deuda-remanufactura-total.csv"
"MTV_B23_I01","PILOTAJE_CON_AJUSTE","75","pedagogia","Secuencias experimentales para conflicto cognitivo","por_confirmar","funcional","PROMOVER_BETA_AJUSTE_MENOR","content/items/stand-by/Error, conflicto cognitivo y reestructuración de esquemas/MTV_B23_I01.json","L047","La opcion A conserva el nucleo del cambio conceptual: prediccion, contraste con evidencia y revision de la explicacion. Las otras opciones evitan o tercerizan esa confrontacion.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B01_I01","DESCARTE_TECNICO","-100","competencias_ciudadanas","Diversidad de tonos de piel en el aula","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Sesgos culturales, lenguaje inclusivo y discriminación cotidiana/IDD_B01_I01.json","L001","La expresión instala como norma un único tono de piel y borra la pluralidad corporal y cultural presente en el aula. / Aunque el caso es reconocible, la clave se vuelve moralmente obvia y los distractores no funcionan como errores pedagogicos plausibles sino como caricaturas patologizantes o disciplinarias. / Pregunta de identificacion de sesgo con distractores extremados y baja discriminacion psicometrica real.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B01_I02","DESCARTE_TECNICO","-100","competencias_ciudadanas","Mediacion docente frente a expresion discriminatoria naturalizada","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Sesgos culturales, lenguaje inclusivo y discriminación cotidiana/IDD_B01_I02.json","L027","La opcion correcta trabaja el sesgo como oportunidad de aprendizaje, no como falta moral a castigar ni como asunto a omitir. Invita a observar, contrastar y reconstruir el lenguaje usado por el grupo. / La mejor intervencion es demasiado evidente y las alternativas restantes caen en omision o pseudoempatia punitiva.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B01_I03","DESCARTE_TECNICO","-100","competencias_ciudadanas","Mediación docente frente a lenguaje estigmatizante","por_confirmar","funcional","REVISION_OPEC","content/items/stand-by/Sesgos culturales, lenguaje inclusivo y discriminación cotidiana/IDD_B01_I03.json","L046","La opción B es la más sólida porque corrige el lenguaje de forma profesional y pedagógica, explicita el impacto del término en la dignidad y evita que la conversación siga organizada alrededor del déficit. Además, reconduce la discusión hacia decisiones institucionales observables sobre participación y apoyos. / Predomina la adhesión discursiva a lenguaje de derechos; la tarea se resuelve por vocabulario normativo y no por juicio pedagógico fino.","remanufactura/deuda-remanufactura-total.csv"
"CB08_I01","DESCARTE_TECNICO","-100","gestion","Referentes para actualización del PEI","rector_director_rural","funcional","RECONSTRUIR_OPEC","content/items/stand-by/Referentes PEI/CB08_I01.json","L001","El PEI requiere una base integral: fines formativos, lectura del contexto, orientación pedagógica y acuerdos construidos por la comunidad educativa. / Reduce el PEI a un listado generico de referentes y se resuelve por exclusion facil, sin lectura institucional situada ni suficiente valor discriminativo. / Memoria conceptual sobre referentes del PEI sin lectura institucional situada. / Solo pide seleccionar el conjunto correcto de referentes del PEI. La clave es evidente y los distractores repre","remanufactura/deuda-remanufactura-total.csv"
"IDD_B17_I01","DESCARTE_TECNICO","-100","lectura_critica","aptitud_verbal","por_confirmar","funcional","REVISION_OPEC","content/items/stand-by/Aptitud verbal y organización textual/IDD_B17_I01.json","L030","La tarea es un ordenamiento secuencial mecanico y transparente; no alcanza el umbral de lectura critica ni aporta suficiente valor al perfil docente.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B17_I02","DESCARTE_TECNICO","-100","lectura_critica","aptitud_verbal","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Aptitud verbal y organización textual/IDD_B17_I02.json","L030","Se resuelve por progresion narrativa demasiado evidente y mide una habilidad textual trivial para una prueba docente.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B17_I03","DESCARTE_TECNICO","-100","lectura_critica","aptitud_verbal","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Aptitud verbal y organización textual/IDD_B17_I03.json","L030","El ejercicio de secuenciar fases de escritura queda en ordenamiento procedimental obvio y no discrimina una competencia docente sustantiva.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B17_I04","DESCARTE_TECNICO","-100","lectura_critica","aptitud_verbal","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Aptitud verbal y organización textual/IDD_B17_I04.json","L030","La clave descansa casi por completo en marcadores discursivos demasiado visibles y no en una lectura critica de mayor nivel.","remanufactura/deuda-remanufactura-total.csv"
"IDD_B17_I05","DESCARTE_TECNICO","-100","lectura_critica","aptitud_verbal","por_confirmar","funcional","REVISION_OPEC","content/items/stand-by/Aptitud verbal y organización textual/IDD_B17_I05.json","L030","Aunque agrega una variacion temporal, la tarea sigue siendo mecanica y de baja relevancia para seleccion docente.","remanufactura/deuda-remanufactura-total.csv"
"CB05_I01","DESCARTE_TECNICO","-100","normatividad","comunicacion_institucional","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Comunicación asertiva/CB05_I01.json","L030","La opcion B combina escucha, precision del problema y construccion conjunta de compromisos, que es justamente la forma mas defendible de comunicacion asertiva en un conflicto profesional. / La opción B integra escucha activa, delimitación objetiva del problema y construcción de acuerdos verificables. Esa secuencia muestra comunicación asertiva observable y orientada a solución, no solo control del conflicto. / La clave es demasiado visible por superioridad moral y las opciones incorrectas no com","remanufactura/deuda-remanufactura-total.csv"
"CB05_I02","DESCARTE_TECNICO","-100","normatividad","comunicacion_institucional","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Comunicación asertiva/CB05_I02.json","L001","Escuchar, validar y encauzar el caso a un espacio formal permite atender la inconformidad sin escalar el conflicto ni sacrificar el análisis objetivo de los hechos. / Ya fue auditado en L001; no se reprocesa en L030. / Escenario potencialmente util, pero la respuesta correcta destaca por tono virtuoso mientras las demas alternativas son caricaturescas. / Escenario potencialmente útil, pero la respuesta correcta destaca por tono virtuoso y las alternativas son caricaturescas.","remanufactura/deuda-remanufactura-total.csv"
"CB05_I03","DESCARTE_TECNICO","-100","normatividad","comunicacion_institucional","por_confirmar","funcional","REUTILIZAR_CASO_OPEC","content/items/stand-by/Comunicación asertiva/CB05_I03.json","L030","La opcion A mantiene el foco restaurativo: escucha, reconocimiento de afectaciones y construccion inicial de acuerdos. Las demas alternativas se desplazan hacia punicion o humillacion. / La opción A estructura una mediación restaurativa: escucha, reconocimiento del impacto, responsabilización y acuerdos verificables. Las demás opciones bloquean el diálogo o reemplazan la reparación por silenciamiento o exposición punitiva. / Se resuelve por adhesion restaurativa obvia y las opciones incorrectas ","remanufactura/deuda-remanufactura-total.csv"
