agente,rango,tipo_inconsistencia,lote,detalle,prioridad,accion_sugerida
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L001,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L002,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L003,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,LOTE_NO_LOCALIZADO,L004,"No hay salidas recuperables en rutas esperadas.",ALTA,"Reconstruir trazabilidad o declarar lote inexistente."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L005,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L006,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L007,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L008,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FRAGMENTACION_ARCHIVOS,L009,"Decisiones e items-corregidos quedaron fragmentados como L009-A y L009-B, no como archivos canónicos únicos.",ALTA,"Crear consolidado canónico sin borrar sublotes."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L010,"Falta reporte-acumulado-instancia.md aunque existen tres salidas nucleares.",MEDIA,"Regenerar reporte acumulado desde resumen y decisiones."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L011,"Falta reporte-acumulado-instancia.md.",MEDIA,"Regenerar reporte acumulado."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L012,"Falta reporte-acumulado-instancia.md.",MEDIA,"Regenerar reporte acumulado."
F2_AGENT_A,L001-L020,FALTANTE_REPORTE_ACUMULADO,L017,"Falta reporte acumulado; además tuvo rezagos luego absorbidos en L034.",ALTA,"Regenerar reporte y documentar rezagos resueltos."
