lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L010-A,CB10_I01,content/items/stand-by/Debido proceso/CB10_I01.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/CB10_I01.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Caso sólido sobre activación de ruta y no revictimización; exige juicio profesional inmediato.",false
L010-A,NFL_B03_I01,content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I01.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I01.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; evalúa debido proceso previo y consideración de apoyos antes de una medida extrema.",false
L010-A,NFL_B03_I02,content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I02.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I02.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; trabaja congruencia procesal a partir de un caso y no de memoria aislada.",false
L010-A,NFL_B03_I03,content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I03.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I03.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable aunque más legalista; el caso sigue exigiendo inferir tipicidad desde una decisión institucional.",false
L010-A,NFL_B03_I04,content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I04.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I04.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; juzga proporcionalidad de la medida correctiva en un escenario situado.",false
L010-A,NFL_B03_I05,content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I05.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/NFL_B03_I05.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; evalúa defensa y contradicción con situación escolar plausible.",false
L010-A,EIP_B03_I01,content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I01.json,,pedagogia,preescolar,basica,DESCARTAR,"Depende de recuerdo literal de la lista del artículo 15 y reduce el desarrollo integral a nomenclatura normativa.",false
L010-A,EIP_B03_I02,content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I02.json,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I02.json,pedagogia,preescolar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; usa una situación de aula para reconocer la dimensión sicomotriz sin quedarse en lista aislada.",false
L010-A,EIP_B03_I03,content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I03.json,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I03.json,pedagogia,preescolar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; convierte lo socioafectivo en juicio pedagógico básico de acompañamiento.",false
L010-A,EIP_B03_I04,content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I04.json,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I04.json,pedagogia,preescolar,funcional,LISTO_PARA_PILOTAJE,"Recuperable y útil; evita escolarización prematura y discrimina una visión adecuada del desarrollo cognoscitivo.",false
L010-B,EIP_B03_I05,content/items/stand-by/Desarrollo integral en preescolar - cinco dimensiones/EIP_B03_I05.json,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B03_I05.json,pedagogia,preescolar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; formula la dimensión espiritual como trabajo de valores y respeto, no como lista o adoctrinamiento. Requiere vigilancia futura de sesgo confesional en pilotaje.",true
