id_item,nivel_5b,estado_operacional,lote_origen,fuente_decision,ruta_origen,carpeta_origen,ruta_destino_operacional,accion_5b,observaciones
CB01_I02,premium,MATERIALIZADO,L009-A,fase-5/banco-final.csv,"content/items/Currículo y Contexto Social/CB01_I02.json","Currículo y Contexto Social","content/items/Currículo y Contexto Social/CB01_I02.json",mantener_en_banco,"Ya materializado en Fase 5."
CB01_I03,premium,MATERIALIZADO,L009-A,fase-5/banco-final.csv,"content/items/Currículo y Contexto Social/CB01_I03.json","Currículo y Contexto Social","content/items/Currículo y Contexto Social/CB01_I03.json",mantener_en_banco,"Ya materializado en Fase 5."
EFCC_B03_I01,premium,MATERIALIZADO,L009-A,fase-5/banco-final.csv,"content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I01.json","Currículo, PEI y evaluación didáctica","content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I01.json",mantener_en_banco,"Ya materializado en Fase 5."
EFCC_B03_I03,premium,MATERIALIZADO,L009-A,fase-5/banco-final.csv,"content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I03.json","Currículo, PEI y evaluación didáctica","content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I03.json",mantener_en_banco,"Ya materializado en Fase 5."
IDD_B04_I05,premium,MATERIALIZADO,L009-B,fase-5/banco-final.csv,"content/items/DUA, PIAR y ajustes razonables/IDD_B04_I05.json","DUA, PIAR y ajustes razonables","content/items/DUA, PIAR y ajustes razonables/IDD_B04_I05.json",mantener_en_banco,"Ya materializado en Fase 5."
IDD_B04_I07,premium,MATERIALIZADO,L009-B,fase-5/banco-final.csv,"content/items/DUA, PIAR y ajustes razonables/IDD_B04_I07.json","DUA, PIAR y ajustes razonables","content/items/DUA, PIAR y ajustes razonables/IDD_B04_I07.json",mantener_en_banco,"Ya materializado en Fase 5."
EFCC_B01_I02,premium,MATERIALIZADO,L016,fase-5/banco-final.csv,"content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I02.json","Evaluación tecnicista, punitiva y formativa","content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I02.json",mantener_en_banco,"Ya materializado en Fase 5."
EFCC_B01_I04,premium,MATERIALIZADO,L016,fase-5/banco-final.csv,"content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I04.json","Evaluación tecnicista, punitiva y formativa","content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I04.json",mantener_en_banco,"Ya materializado en Fase 5."
DIL_B04_I01,premium,MATERIALIZADO,L027,fase-5/banco-final.csv,"content/items/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json","Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes","content/items/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json",mantener_en_banco,"Ya materializado en Fase 5."
MTV_B22_I07,premium,MATERIALIZADO,L033+L047,"fase-5/banco-final.csv + trazabilidad/L047/decisiones.csv","content/items/Aprendizaje significativo Ausubel/MTV_B22_I07.json","Aprendizaje significativo Ausubel","content/items/Aprendizaje significativo Ausubel/MTV_B22_I07.json",mantener_en_banco,"Materializado en Fase 5 y confirmado por decisión heredada L047."
