lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L006-A,CEOL_B04_I01,content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I01.json,,competencias_ciudadanas,por_confirmar,basica,DESCARTAR,"Memoria normativa casi literal sobre la tríada corresponsable; contexto decorativo y distractores de baja competencia.",false
L006-A,CEOL_B04_I02,content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I02.json,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B04_I02.json,competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Caso defendible sobre entorno, prevención y articulación con red intersectorial.",false
L006-A,CEOL_B04_I03,content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I03.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/CEOL_B04_I03.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; evalúa deber de cuidado durante la jornada escolar con una decisión institucional clara.",true
L006-A,CEOL_B04_I04,content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I04.json,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B04_I04.json,competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Buen juicio comunitario y preventivo; evita respuestas policiales o estigmatizantes.",false
L006-A,CEOL_B04_I05,content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I05.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/CEOL_B04_I05.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; activa seguimiento, familia y protección de trayectorias ante evasión de clase.",true
L006-A,IDD_B03_I01,content/items/stand-by/Corresponsabilidad, garante y protección del estudiante/IDD_B03_I01.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/IDD_B03_I01.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Caso sólido de inclusión y posición de garante con una sola mejor respuesta.",false
L006-A,IDD_B03_I03,content/items/stand-by/Corresponsabilidad, garante y protección del estudiante/IDD_B03_I03.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/IDD_B03_I03.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; interpreta corresponsabilidad aplicada a apoyos educativos sin caer en literalismo.",false
L006-A,DIL_B01_I01,content/items/stand-by/Corresponsabilidad, protección integral y sujetos de derechos/DIL_B01_I01.json,,normatividad,por_confirmar,basica,DESCARTAR,"Pregunta por el nombre del principio jurídico; trivial y poco útil para discriminar desempeño.",false
L006-A,DIL_B01_I02,content/items/stand-by/Corresponsabilidad, protección integral y sujetos de derechos/DIL_B01_I02.json,,normatividad,por_confirmar,basica,DESCARTAR,"Redundante con otros ítems del mismo lote y centrado en recuerdo textual de la tríada familia-sociedad-Estado.",false
L006-A,DIL_B01_I03,content/items/stand-by/Corresponsabilidad, protección integral y sujetos de derechos/DIL_B01_I03.json,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/DIL_B01_I03.json,pedagogia,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Recuperable; obliga a decidir cómo actúa la escuela cuando detecta riesgo y no solo a definir el principio.",false
L006-B,DIL_B01_I04,content/items/stand-by/Corresponsabilidad, protección integral y sujetos de derechos/DIL_B01_I04.json,,normatividad,por_confirmar,basica,DESCARTAR,"Definición declarativa de sujeto titular de derechos con distractores muy débiles.",false
L006-B,DIL_B01_I05,content/items/stand-by/Corresponsabilidad, protección integral y sujetos de derechos/DIL_B01_I05.json,,normatividad,por_confirmar,basica,DESCARTAR,"Duplica el foco de corresponsabilidad de DIL_B01_I02 y vuelve a depender de memoria normativa directa.",false
