orden_piloto,estado_pilotaje,id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
1,PILOTAJE_V1,CB01_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,Flexibilidad curricular ante movilidad estudiantil,por_confirmar,funcional,content/items/Currículo y Contexto Social/CB01_I02.json,content/items/Currículo y Contexto Social/CB01_I02.json,L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L031 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/CB01_I02.json,Ítem sólido sobre flexibilidad curricular ante movilidad estudiantil; movido a ubicación final en content/items. / Ya materializado en Fase 5.
2,PILOTAJE_V1,CB01_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,Autonomía escolar y adaptación contextual de referentes externos,por_confirmar,funcional,content/items/Currículo y Contexto Social/CB01_I03.json,content/items/Currículo y Contexto Social/CB01_I03.json,L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L031 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/CB01_I03.json,Buen juicio sobre autonomía escolar y adaptación contextual de referentes externos; movido a ubicación final en content/items. / Ya materializado en Fase 5.
3,PILOTAJE_V1,CB14_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,"Vinculación entre saber disciplinar, contexto y participación comunitaria",por_confirmar,funcional,content/items/Propósitos de la educación/CB14_I03.json,content/items/Propósitos de la educación/CB14_I03.json,L025,LISTO_PARA_BANCO | MATERIALIZADO,mantener_en_banco | movido_a_content_items,auditoria/L025 | auditoria/L075 | content/items | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/CB14_I03.json,"Vincula propósito educativo con selección de actividad situada y solución contextual; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La respuesta correcta conecta saber disciplinar, comprensión crítica del contexto y formulación de soluciones, que es precisamente donde el propósito educativo deja de ser declarativo y se vuelve observable."
4,PILOTAJE_V1,CB15_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,Mediacion durante la construccion del aprendizaje,por_confirmar,funcional,content/items/Fases enseñanza/CB15_I03.json,content/items/stand-by/Fases enseñanza/CB15_I03.json,L017+L057,CANDIDATO_PROMOCION | LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L017 | auditoria/L057 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/CB15_I03.json,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La opcion correcta mantiene el foco en el razonamiento del estudiante y usa la mediacion docente como andamiaje, no como sustitucion ni como castigo."
5,PILOTAJE_V1,EFCC_B01_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,Prácticas punitivas en aula,por_confirmar,funcional,"content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I02.json","content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I02.json",L016,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L016 | auditoria/L054 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B01_I02.json,"La crítica a la prueba sorpresa punitiva está situada; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La opción B es la única que integra los tres problemas relevantes del caso: ausencia de criterios previos, desalineación con lo enseñado y falta de retroalimentación, lo que convierte la evaluación en castigo y no en apoyo al aprendizaje."
6,PILOTAJE_V1,EFCC_B01_I04,PILOTAJE_V1_CANDIDATO,100,pedagogia,Recuperación académica con sentido formativo,por_confirmar,funcional,"content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I04.json","content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I04.json",L016,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L016 | auditoria/L054 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B01_I04.json,"Buen juicio sobre recuperación formativa; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La opción D es la única que identifica los rasgos irrenunciables de una recuperación formativa: diagnosticar la dificultad, mediar el proceso y ofrecer nueva evidencia de aprendizaje, no solo castigar con trabajo mecánico."
7,PILOTAJE_V1,EFCC_B03_I01,PILOTAJE_V1_CANDIDATO,100,pedagogia,Competencias y diseño de situaciones significativas,por_confirmar,funcional,"content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I01.json","content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I01.json",L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO,mantener_en_banco | movido_a_content_items,content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B03_I01.json,Mide con claridad la diferencia entre reproducción de contenidos y aprendizaje por competencias situado; movido a ubicación final en content/items. / Ya materializado en Fase 5.
8,PILOTAJE_V1,EFCC_B03_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,Autonomía escolar y uso de pruebas externas en evaluación docente,por_confirmar,funcional,"content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I03.json","content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I03.json",L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO,mantener_en_banco | movido_a_content_items,content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B03_I03.json,Buen conflicto de gestión curricular y evaluación docente; movido a ubicación final en content/items. / Ya materializado en Fase 5.
9,PILOTAJE_V1,GA02_B03_I01,PILOTAJE_V1_CANDIDATO,100,pedagogia,didactica_y_planeacion,por_confirmar,funcional,"content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json","content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json",L012+L043,BANCO_OPERACIONAL | CANDIDATO_PROMOCION | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I01.json,Decisión previa LISTO_PARA_BANCO conservada sin reauditoría.
10,PILOTAJE_V1,GA02_B03_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,didactica_y_planeacion,por_confirmar,funcional,"content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json","content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json",L012+L043,BANCO_OPERACIONAL | CANDIDATO_PROMOCION | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I02.json,Decisión previa LISTO_PARA_BANCO conservada sin reauditoría.
11,PILOTAJE_V1,GA02_B03_I04,PILOTAJE_V1_CANDIDATO,100,pedagogia,didactica_y_planeacion,por_confirmar,funcional,"content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I04.json","content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I04.json",L012+L043,BANCO_OPERACIONAL | CANDIDATO_PROMOCION | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I04.json,Decisión previa LISTO_PARA_BANCO conservada sin reauditoría.
12,PILOTAJE_V1,IDD_B04_I05,PILOTAJE_V1_CANDIDATO,100,pedagogia,Caracterización pedagógica para el PIAR,por_confirmar,funcional,"content/items/DUA, PIAR y ajustes razonables/IDD_B04_I05.json","content/items/DUA, PIAR y ajustes razonables/IDD_B04_I05.json",L009-B,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO,mantener_en_banco | movido_a_content_items,auditoria/L038 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/IDD_B04_I05.json,"Buen ítem sobre insumos pedagógicos del PIAR; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La opcion B es la mas defendible porque aporta evidencia util para decidir apoyos y flexibilizaciones en contexto. Los otros insumos pueden complementar, pero no sustituyen la lectura pedagogica situada que exige el PIAR."
13,PILOTAJE_V1,IDD_B04_I07,PILOTAJE_V1_CANDIDATO,100,pedagogia,Participación en aula común y uso no segregador del PIAR,por_confirmar,funcional,"content/items/DUA, PIAR y ajustes razonables/IDD_B04_I07.json","content/items/DUA, PIAR y ajustes razonables/IDD_B04_I07.json",L009-B,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO,mantener_en_banco | movido_a_content_items,auditoria/L038 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/IDD_B04_I07.json,"Caso fuerte sobre participación en aula común y uso no segregador del PIAR; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La opcion A conserva el derecho a participar en la misma experiencia curricular y traduce el PIAR en ajustes concretos, no en actividades decorativas o segregadas. Eso la hace la respuesta mas valida para el constructo evaluado."
14,PILOTAJE_V1,IDD_B06_I05,PILOTAJE_V1_CANDIDATO,100,pedagogia,ajustes razonables con altas expectativas,por_confirmar,funcional,content/items/Inclusión práctica vs. segregación en aula/IDD_B06_I05.json,content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I05.json,L020+L039,CANDIDATO_PROMOCION | LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L020 | auditoria/L039 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/IDD_B06_I05.json,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La opcion B protege el derecho al aprendizaje sin renunciar al criterio de logro. La equidad se expresa en flexibilizar medios y apoyos, no en borrar la meta ni en evaluar otra cosa."
15,PILOTAJE_V1,IDD_B07_I01,PILOTAJE_V1_CANDIDATO,100,pedagogia,adaptacion de recursos sin castigar vulnerabilidad,por_confirmar,funcional,"content/items/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I01.json","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I01.json",L020+L039,CANDIDATO_PROMOCION | LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L020 | auditoria/L039 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/IDD_B07_I01.json,Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La opcion B reconoce la barrera economica sin convertirla en sancion ni en renuncia al aprendizaje. Reorganiza la mediacion didactica para sostener el mismo proposito formativo.
16,PILOTAJE_V1,IDD_B07_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,"gestion de apoyos y barreras fisicas, comunicativas y pedagogicas",por_confirmar,funcional,"content/items/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I03.json","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I03.json",L020+L039,CANDIDATO_PROMOCION | LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L020 | auditoria/L039 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/IDD_B07_I03.json,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La opcion D entiende la inclusion como transformacion institucional y no como simple matricula. Permite remover barreras fisicas, comunicativas y pedagogicas de manera planificada."
17,PILOTAJE_V1,IDD_B07_I04,PILOTAJE_V1_CANDIDATO,100,pedagogia,confidencialidad y acompanamiento frente a barreras de contexto,por_confirmar,funcional,"content/items/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I04.json","content/items/stand-by/Inclusión, equidad socioeconómica y adaptabilidad curricular/IDD_B07_I04.json",L020+L039,CANDIDATO_PROMOCION | LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L020 | auditoria/L039 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/IDD_B07_I04.json,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La opcion C protege dignidad, confidencialidad y derecho al aprendizaje. No castiga la vulnerabilidad, pero tampoco elimina la exigencia formativa: la acompana con apoyos y flexibilidad razonable."
19,PILOTAJE_V1,IDD_B12_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,Evaluacion formativa con material concreto,por_confirmar,funcional,"content/items/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I02.json","content/items/stand-by/Didáctica de áreas, resolución de problemas y material concreto/IDD_B12_I02.json",L012+L043,CANDIDATO_PROMOCION | LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L043 | auditoria/L069 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/IDD_B12_I02.json,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La respuesta correcta es A porque vincula diagnostico, manipulacion, contraste conceptual y mediacion intencional. No basta con usar recursos; se necesita orientarlos hacia la comprension del error y la construccion de relaciones matematicas."
