lote,id_item,ruta_origen,carpeta_origen,decision,requiere_revision_humana,justificacion,resolucion
L068,DIL_B04_I01,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json,Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes,LISTO_PARA_BANCO,false,Mide una respuesta escolar observable con activación de ruta, documentación y protección integral sin extralimitación.,Se conserva para banco.
L068,DIL_B04_I02,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I02.json,Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes,DESCARTAR,false,La tarea real es identificar el principio legal que prohíbe castigos degradantes; predomina memoria normativa y la clave es evidente.,Se descarta.
L068,DIL_B04_I03,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I03.json,Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes,LISTO_PARA_PILOTAJE,false,La decisión institucional es pertinente y protege contra revictimización, pero los distractores son muy extremos y facilitan la clave.,Se conserva para pilotaje.
L068,DIL_B04_I04,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I04.json,Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes,LISTO_PARA_PILOTAJE,false,Evalúa bien confidencialidad y canalización interna, aunque la opción correcta sobresale demasiado frente a alternativas caricaturescas.,Se conserva para pilotaje.
L068,DIL_B04_I05,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I05.json,Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes,LISTO_PARA_PILOTAJE,false,La medida restaurativa y proporcional es defendible, pero la respuesta correcta sigue siendo demasiado visible.,Se conserva para pilotaje.
L068,CEOL_B01_I01,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I01.json,Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones,DESCARTAR,false,Es una pregunta de memoria sobre los ejes del sistema y no exige respuesta escolar observable.,Se descarta.
L068,CEOL_B01_I02,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I02.json,Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones,DESCARTAR,false,Se centra en recordar el origen histórico de la ley y no en una decisión institucional situada.,Se descarta.
L068,CEOL_B01_I03,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I03.json,Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones,DESCARTAR,false,Clasifica componentes de la ruta por memoria legal directa.,Se descarta.
L068,CEOL_B01_I04,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I04.json,Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones,DESCARTAR,false,Es reconocimiento de niveles jerárquicos del sistema, sin decisión pedagógica o institucional observable.,Se descarta.
L068,CEOL_B01_I05,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I05.json,Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones,LISTO_PARA_PILOTAJE,false,La proporcionalidad para una situación Tipo I está bien orientada, aunque la clasificación normativa sigue siendo bastante visible.,Se conserva para pilotaje.
L068,CEOL_B01_I06,content/items/stand-by/Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones/CEOL_B01_I06.json,Sistema Nacional de Convivencia Escolar, Ruta de Atención y tipificación de situaciones,LISTO_PARA_PILOTAJE,false,Distingue bien los límites entre Tipo II y III, pero la tarea depende demasiado de clasificación normativa y no alcanza solidez de banco.,Se conserva para pilotaje.
L068,CEOL_B02_I01,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I01.json,Enfoque de derechos, debido proceso y justicia restaurativa,LISTO_PARA_PILOTAJE,false,La actuación con debido proceso y proporcionalidad es válida, pero la clave es muy visible frente a distractores débiles.,Se conserva para pilotaje.
L068,CEOL_B02_I02,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I02.json,Enfoque de derechos, debido proceso y justicia restaurativa,DESCARTAR,false,Predomina una explicación doctrinal del enfoque de derechos y no una actuación institucional concreta.,Se descarta.
L068,CEOL_B02_I03,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I03.json,Enfoque de derechos, debido proceso y justicia restaurativa,DESCARTAR,false,La clave depende de memoria constitucional sobre prevalencia de derechos y no de una respuesta escolar observable.,Se descarta.
L068,CEOL_B02_I04,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I04.json,Enfoque de derechos, debido proceso y justicia restaurativa,LISTO_PARA_PILOTAJE,false,El caso sobre tipicidad y manual de convivencia es útil, aunque la respuesta correcta sobresale demasiado por formulación jurídica más completa.,Se conserva para pilotaje.
L068,CEOL_B02_I05,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I05.json,Enfoque de derechos, debido proceso y justicia restaurativa,LISTO_PARA_PILOTAJE,false,La lógica restaurativa frente al bullying es defendible, pero el contraste entre opciones sigue favoreciendo demasiado la clave.,Se conserva para pilotaje.
L068,CEOL_B02_I06,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I06.json,Enfoque de derechos, debido proceso y justicia restaurativa,LISTO_PARA_PILOTAJE,false,La actualización restaurativa del manual tiene valor institucional, aunque el ítem sigue algo declarativo y con distractores flojos.,Se conserva para pilotaje.
L068,CEOL_B02_I07,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I07.json,Enfoque de derechos, debido proceso y justicia restaurativa,LISTO_PARA_BANCO,false,La secuencia de escucha, descargos, proporcionalidad, reparación y seguimiento mide con claridad una respuesta escolar observable y técnicamente defendible.,Se conserva para banco.
