sourceFolder,proposedArea,proposedProfile,proposedItemCategory,confidence,proposedTargetPath,notes
"Aprendizaje significativo Ausubel",pedagogia,por_confirmar,basica,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Teoria pedagogica general; requiere confirmar perfil final."
"Aptitud numérica: porcentajes y proporcionalidad",matematicas,por_confirmar,basica,alta,"content/restructuring-v1/docente/matematicas/por_confirmar/basica/","Aptitud cuantitativa transversal."
"Aptitud verbal y organización textual",lectura_critica,por_confirmar,basica,alta,"content/restructuring-v1/docente/lectura_critica/por_confirmar/basica/","Aptitud verbal y organizacion textual transversal."
"Articulación PEI y práctica pedagógica",pedagogia,coordinador,funcional,media,"content/restructuring-v1/docente/pedagogia/coordinador/funcional/","Articulacion academica e institucional; puede revisarse contra directivos."
"Aula invertida y cambio de rol docente",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Decision didactica general de aula."
"Autonomía escolar, religión, colegios privados y equidad",normatividad,por_confirmar,basica,media,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco juridico y tensiones de autonomia escolar."
"Autonomía institucional, enfoques de convivencia y organización del servicio educativo",normatividad,rector_director_rural,funcional,media,"content/restructuring-v1/docente/normatividad/rector_director_rural/funcional/","Decision institucional con sesgo directivo."
"Comunicación asertiva",competencias_ciudadanas,por_confirmar,comportamental,alta,"content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/","Juicio relacional transversal."
"Concepto y tipos de currículo",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Marco conceptual curricular."
"Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento",pedagogia,por_confirmar,basica,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Base teorica pedagogica."
"Constructivismo, indagación y aprendizaje experimental",pedagogia,secundaria_media,funcional,media,"content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/","Fuerte afinidad con didactica de indagacion."
"Contexto, currículo y práctica educativa",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Relacion contexto-curriculo-practica."
"Corresponsabilidad educativa, ausentismo y posición de garante",normatividad,por_confirmar,funcional,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/funcional/","Aplicacion de deber de cuidado y corresponsabilidad."
"Corresponsabilidad, entorno y cuidado institucional",competencias_ciudadanas,por_confirmar,comportamental,media,"content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/","Puede terminar en gestion o normatividad tras segunda pasada."
"Corresponsabilidad, garante y protección del estudiante",normatividad,por_confirmar,funcional,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/funcional/","Proteccion del estudiante y obligacion institucional."
"Corresponsabilidad, protección integral y sujetos de derechos",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco de derechos y proteccion integral."
"Criterios, instrumentos y tipos de evaluación",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Conceptos base de evaluacion."
"Cultura escolar, identidad institucional y PEI",gestion,rector_director_rural,funcional,alta,"content/restructuring-v1/docente/gestion/rector_director_rural/funcional/","Fuerte afinidad con liderazgo e identidad institucional."
"Currículo en espiral, Bruner y material concreto",pedagogia,por_confirmar,basica,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Marco conceptual con potencial funcional en segunda pasada."
"Currículo obligatorio y proyectos pedagógicos transversales",pedagogia,por_confirmar,funcional,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Puede tocar normatividad curricular."
"Currículo oficial, oculto, nulo, PEI y DUR 1075",pedagogia,por_confirmar,basica,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Taxonomia curricular con soporte normativo."
"Currículo vs plan vs malla",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Diferenciacion conceptual curricular."
"Currículo y Contexto Social",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Aplicacion del curriculo al contexto."
"Currículo, PEI y evaluación didáctica",pedagogia,coordinador,funcional,media,"content/restructuring-v1/docente/pedagogia/coordinador/funcional/","Articulacion academica institucional."
"DUA, PIAR y ajustes razonables",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Inclusion aplicada en aula."
"Debido proceso, congruencia y medidas correctivas extremas",normatividad,coordinador,funcional,media,"content/restructuring-v1/docente/normatividad/coordinador/funcional/","Aplicacion institucional de convivencia."
"Debido proceso",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco juridico general."
"Desarrollo integral en preescolar - cinco dimensiones",pedagogia,preescolar,basica,alta,"content/restructuring-v1/docente/pedagogia/preescolar/basica/","Pertenece claramente al nivel preescolar."
"Diagnóstico pedagógico en educación primaria",pedagogia,basica_primaria,funcional,alta,"content/restructuring-v1/docente/pedagogia/basica_primaria/funcional/","Ajuste claro por nivel y tarea."
"Diagnóstico pedagógico integral",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Diagnostico general de aula."
"Diagnóstico pedagógico, saberes previos y evaluación formativa",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Fuerte afinidad didactica."
"Didáctica de áreas, resolución de problemas y material concreto",pedagogia,por_confirmar,funcional,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Puede separarse por area disciplinar en segunda pasada."
"Didáctica, diversidad y planeación de aula",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Planeacion de aula e inclusion."
"Dignidad humana, equidad y columna vertebral del Código de Infancia",normatividad,orientador,basica,media,"content/restructuring-v1/docente/normatividad/orientador/basica/","Enfoque de derechos cercano al rol orientador."
"Docente de apoyo, orientador y valoración pedagógica",pedagogia,orientador,funcional,alta,"content/restructuring-v1/docente/pedagogia/orientador/funcional/","Rol y toma de decisiones de apoyo/orientacion."
"Educación como derecho fundamental, bien común y derecho pluridimensional",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco general del derecho a la educacion."
"Enfoque de derechos, debido proceso y justicia restaurativa",normatividad,coordinador,funcional,media,"content/restructuring-v1/docente/normatividad/coordinador/funcional/","Convivencia institucional y enfoque restaurativo."
"Enseñar, formar, motivación didáctica y competencias socioemocionales",pedagogia,por_confirmar,funcional,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Puede migrar parcialmente a ciudadanas."
"Error, conflicto cognitivo y reestructuración de esquemas",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Decision didactica sobre error y aprendizaje."
"Estructura del sistema educativo - educación básica, secundaria y media",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco estructural del sistema educativo."
"Evaluación colaborativa, coevaluación y metacognición",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Evaluacion de aprendizaje."
"Evaluación cualitativa, formativa y participativa",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Marco conceptual de evaluacion."
"Evaluación formativa, mejora continua y lenguaje evaluativo",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Uso pedagogico de la evaluacion."
"Evaluación integral por competencias",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Concepto general de evaluacion por competencias."
"Evaluación tecnicista, punitiva y formativa",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Contraste de enfoques evaluativos."
"Evolución normativa - Código del Menor vs. Ley 1098",normatividad,orientador,basica,media,"content/restructuring-v1/docente/normatividad/orientador/basica/","Proteccion de NNA y marco evolutivo."
"Fases enseñanza",pedagogia,por_confirmar,basica,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/basica/","Concepto base de procesos de ensenanza."
"Formación integral, fines de la educación y desarrollo de la personalidad",normatividad,por_confirmar,basica,media,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Fines legales de la educacion."
"Gestión de aula, lectura, creatividad y honestidad académica",pedagogia,por_confirmar,funcional,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Gestion de aula con componentes eticos y didacticos."
"Habilidades blandas y duras",competencias_ciudadanas,por_confirmar,basica,media,"content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/basica/","Puede migrar a pedagogia o gestion segun contenido interno."
"Horario escolar",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Marco organizativo escolar."
"Ideas previas, conflicto cognitivo y desarrollo constructivista",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Uso pedagogico de ideas previas."
"Identidad, autonomía y reconocimiento del cuerpo",pedagogia,preescolar,funcional,alta,"content/restructuring-v1/docente/pedagogia/preescolar/funcional/","Preescolar por tema y enfoque."
"Igualdad material, discriminación positiva y debilidad manifiesta",normatividad,por_confirmar,funcional,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/funcional/","Aplicacion de igualdad material y ajustes."
"Inclusión Decreto 1421",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Normativa de inclusion."
"Inclusión práctica vs. segregación en aula",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Inclusion aplicada a aula."
"Inclusión, equidad socioeconómica y adaptabilidad curricular",pedagogia,por_confirmar,funcional,alta,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Inclusion y adaptacion curricular."
"Inteligencia, inteligencias múltiples y didáctica heterogénea",pedagogia,por_confirmar,funcional,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/","Base teorica con potencial de decision didactica."
"Jornada escolar, horario laboral y asignación académica",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Reglas organizativas del servicio."
"Manejo del error y clima afectivo",pedagogia,por_confirmar,comportamental,media,"content/restructuring-v1/docente/pedagogia/por_confirmar/comportamental/","Juicio sobre trato pedagogico y error."
"Marco constitucional, legal y jurisprudencial de inclusión",normatividad,por_confirmar,basica,alta,"content/restructuring-v1/docente/normatividad/por_confirmar/basica/","Base normativa de inclusion."
"Marco legal del preescolar y organización del nivel",normatividad,preescolar,basica,alta,"content/restructuring-v1/docente/normatividad/preescolar/basica/","Marco normativo propio del nivel."
"Mecanismos de participación ciudadana: plebiscito, consulta y límites",competencias_ciudadanas,por_confirmar,basica,alta,"content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/basica/","Contenido ciudadano transversal."
"Menor infractor, edad penal y rutas de protección",normatividad,orientador,funcional,media,"content/restructuring-v1/docente/normatividad/orientador/funcional/","Rutas de atencion y proteccion."
