id_item,estado_final,macrodominio,accion_fase3
DIL_B04_I01,LISTO_PARA_BANCO,proteccion_integral,conservar
MTV_B22_I07,LISTO_PARA_BANCO,didactica_y_mediacion,conservar
MTV_B22_I08,LISTO_PARA_BANCO,didactica_y_mediacion,conservar
CB14_I03,LISTO_PARA_BANCO,gestion_institucional,conservar
IDD_B06_I02,LISTO_PARA_BANCO,inclusion_y_enfoque_diferencial,conservar
IDD_B06_I04,LISTO_PARA_BANCO,inclusion_y_enfoque_diferencial,conservar
PPDC_B07_I03,LISTO_PARA_BANCO,didactica_y_mediacion,conservar
MTV_B24_I02,LISTO_PARA_BANCO,didactica_y_mediacion,conservar
MTV_B24_I05,LISTO_PARA_BANCO,didactica_y_mediacion,conservar
CEOL_B02_I07,LISTO_PARA_BANCO,proteccion_integral,conservar
