id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
CB01_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,Flexibilidad curricular ante movilidad estudiantil,por_confirmar,funcional,content/items/Currículo y Contexto Social/CB01_I02.json,content/items/Currículo y Contexto Social/CB01_I02.json,L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L031 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/CB01_I02.json,Ítem sólido sobre flexibilidad curricular ante movilidad estudiantil; movido a ubicación final en content/items. / Ya materializado en Fase 5.
CB01_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,Autonomía escolar y adaptación contextual de referentes externos,por_confirmar,funcional,content/items/Currículo y Contexto Social/CB01_I03.json,content/items/Currículo y Contexto Social/CB01_I03.json,L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L031 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/CB01_I03.json,Buen juicio sobre autonomía escolar y adaptación contextual de referentes externos; movido a ubicación final en content/items. / Ya materializado en Fase 5.
CB14_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,"Vinculación entre saber disciplinar, contexto y participación comunitaria",por_confirmar,funcional,content/items/Propósitos de la educación/CB14_I03.json,content/items/Propósitos de la educación/CB14_I03.json,L025,LISTO_PARA_BANCO | MATERIALIZADO,mantener_en_banco | movido_a_content_items,auditoria/L025 | auditoria/L075 | content/items | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/CB14_I03.json,"Vincula propósito educativo con selección de actividad situada y solución contextual; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La respuesta correcta conecta saber disciplinar, comprensión crítica del contexto y formulación de soluciones, que es precisamente donde el propósito educativo deja de ser declarativo y se vuelve observable."
CB15_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,Mediacion durante la construccion del aprendizaje,por_confirmar,funcional,content/items/Fases enseñanza/CB15_I03.json,content/items/stand-by/Fases enseñanza/CB15_I03.json,L017+L057,CANDIDATO_PROMOCION | LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L017 | auditoria/L057 | fase-5b/microbloque-01/banco-premium,no,,content/items/beta-v1/pedagogia/CB15_I03.json,"Decisión previa LISTO_PARA_BANCO conservada sin reauditoría. / La opcion correcta mantiene el foco en el razonamiento del estudiante y usa la mediacion docente como andamiaje, no como sustitucion ni como castigo."
EFCC_B01_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,Prácticas punitivas en aula,por_confirmar,funcional,"content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I02.json","content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I02.json",L016,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L016 | auditoria/L054 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B01_I02.json,"La crítica a la prueba sorpresa punitiva está situada; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La opción B es la única que integra los tres problemas relevantes del caso: ausencia de criterios previos, desalineación con lo enseñado y falta de retroalimentación, lo que convierte la evaluación en castigo y no en apoyo al aprendizaje."
EFCC_B01_I04,PILOTAJE_V1_CANDIDATO,100,pedagogia,Recuperación académica con sentido formativo,por_confirmar,funcional,"content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I04.json","content/items/Evaluación tecnicista, punitiva y formativa/EFCC_B01_I04.json",L016,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO | OMITIDO_POR_AUDITORIA_PREVIA,mantener_en_banco | movido_a_content_items,auditoria/L016 | auditoria/L054 | content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B01_I04.json,"Buen juicio sobre recuperación formativa; movido a ubicación final en content/items. / Ya materializado en Fase 5. / La opción D es la única que identifica los rasgos irrenunciables de una recuperación formativa: diagnosticar la dificultad, mediar el proceso y ofrecer nueva evidencia de aprendizaje, no solo castigar con trabajo mecánico."
EFCC_B03_I01,PILOTAJE_V1_CANDIDATO,100,pedagogia,Competencias y diseño de situaciones significativas,por_confirmar,funcional,"content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I01.json","content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I01.json",L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO,mantener_en_banco | movido_a_content_items,content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B03_I01.json,Mide con claridad la diferencia entre reproducción de contenidos y aprendizaje por competencias situado; movido a ubicación final en content/items. / Ya materializado en Fase 5.
EFCC_B03_I03,PILOTAJE_V1_CANDIDATO,100,pedagogia,Autonomía escolar y uso de pruebas externas en evaluación docente,por_confirmar,funcional,"content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I03.json","content/items/Currículo, PEI y evaluación didáctica/EFCC_B03_I03.json",L009-A,BANCO_OPERACIONAL | LISTO_PARA_BANCO | Listo para el banco | MATERIALIZADO,mantener_en_banco | movido_a_content_items,content/items | content/items/_banco-operacional.csv | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/EFCC_B03_I03.json,Buen conflicto de gestión curricular y evaluación docente; movido a ubicación final en content/items. / Ya materializado en Fase 5.
GA02_B03_I01,PILOTAJE_V1_CANDIDATO,100,pedagogia,didactica_y_planeacion,por_confirmar,funcional,"content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json","content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I01.json",L012+L043,BANCO_OPERACIONAL | CANDIDATO_PROMOCION | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I01.json,Decisión previa LISTO_PARA_BANCO conservada sin reauditoría.
GA02_B03_I02,PILOTAJE_V1_CANDIDATO,100,pedagogia,didactica_y_planeacion,por_confirmar,funcional,"content/items/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json","content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I02.json",L012+L043,BANCO_OPERACIONAL | CANDIDATO_PROMOCION | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,promover_desde_stand_by,auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I02.json,Decisión previa LISTO_PARA_BANCO conservada sin reauditoría.
