id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
CB08_I02,PILOTAJE_V1_CANDIDATO,90,gestion,coherencia entre horizonte institucional y accion,rector_director_rural,funcional,content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB08_I02.json,content/items/stand-by/Referentes PEI/CB08_I02.json,L026,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L026 | auditoria/L066 | auditoria/L077,no,,content/items/beta-v1/gestion/CB08_I02.json,"La opcion B es la correcta porque el PEI solo gana fuerza institucional si sus principios se traducen en decisiones, estrategias y criterios verificables en los distintos componentes de la vida escolar. / Conserva valor auténtico porque obliga a leer un desajuste real entre misión institucional y práctica pedagógica o de convivencia. / La respuesta correcta es B porque un PEI institucionalmente coherente debe traducir sus principios declarados en orientaciones curriculares, pedagogicas y de conv"
CB08_I03,PILOTAJE_V1_CANDIDATO,90,gestion,uso del diagnostico para priorizar el mejoramiento institucional,rector_director_rural,funcional,content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB08_I03.json,content/items/stand-by/Referentes PEI/CB08_I03.json,L026,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L026 | auditoria/L066 | auditoria/L077,no,,content/items/beta-v1/gestion/CB08_I03.json,"La opcion B es la unica que convierte el diagnostico en criterio real de priorizacion institucional y de asignacion de recursos, como corresponde a un PMI con sentido. / Conserva valor auténtico porque fuerza priorización institucional desde diagnóstico, PMI y PEI. / La respuesta correcta es B porque un PMI defendible debe responder a la autoevaluacion y al diagnostico institucional. Si las alertas principales son pedagogicas y comunitarias, la planeacion y los recursos deben orientarse a esas b"
CB12_I01,PILOTAJE_V1_CANDIDATO,90,gestion,direccionamiento_institucional,por_confirmar,funcional,content/items/gestion/CB12_I01.json,,,BANCO_OPERACIONAL | Listo para el banco,,content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/gestion/CB12_I01.json,
CEOL_B03_I05,PILOTAJE_V1_CANDIDATO,90,gestion,Limites frente a intervencion clinica,orientador,funcional,content/restructuring-v1/docente/gestion/orientador/funcional/CEOL_B03_I05.json,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I05.json",L027,LISTO_PARA_BANCO,,auditoria/L027,no,,content/items/beta-v1/gestion/CEOL_B03_I05.json,"La opcion correcta delimita con claridad el alcance pedagogico del orientador y remite el componente clinico a la red de salud, evitando confundir acompanamiento escolar con psicoterapia."
GCM-DIR-GES-PEI-0001,PILOTAJE_V1_CANDIDATO,90,gestion,gestion_directiva,por_confirmar,funcional,content/items/gestion/GCM-DIR-GES-PEI-0001.json,,,BANCO_OPERACIONAL | Listo para el banco,,content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/gestion/GCM-DIR-GES-PEI-0001.json,
MTV_B08_I08,PILOTAJE_V1_CANDIDATO,90,gestion,Concertacion docente,por_confirmar,funcional,content/restructuring-v1/docente/gestion/por_confirmar/comportamental/MTV_B08_I08.json,content/items/stand-by/Habilidades blandas y duras/MTV_B08_I08.json,L018,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L018 | auditoria/L065 | auditoria/L072,no,,content/items/beta-v1/gestion/MTV_B08_I08.json,"La opcion A es la unica que convierte el desacuerdo en trabajo tecnico conjunto y no en obediencia, confrontacion individual o renuncia al trabajo colaborativo. / La decisión previa se mantiene porque el caso sí exige concertación profesional observable, aunque necesita validación humana de encuadre taxonómico."
gestion-liderazgo-apropiacion-pei-001,PILOTAJE_V1_CANDIDATO,90,gestion,gestion_directiva,por_confirmar,funcional,content/items/gestion/gestion-liderazgo-apropiacion-pei-001.json,,,BANCO_OPERACIONAL | Listo para el banco,,content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/gestion/gestion-liderazgo-apropiacion-pei-001.json,
item-ges-0001,PILOTAJE_V1_CANDIDATO,85,gestion,gestion_directiva,por_confirmar,funcional,content/items/no-beta-v1/banco-operacional-previo/gestion/gestion_directiva/liderazgo_y_clima_escolar/GCM-DIR-GES-PEI-0001.json,,,apto_para_pilotaje,,content/items,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/gestion/item-ges-0001.json,
CB09_I01,PILOTAJE_V1_RESERVA,65,gestion,Organizacion del horario escolar,por_confirmar,funcional,content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB09_I01.json,content/items/stand-by/Horario escolar/CB09_I01.json,L018,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L018 | auditoria/L041,no,,content/items/beta-v1/gestion/CB09_I01.json,"La opcion A es la unica que asume la responsabilidad institucional del problema y lo corrige con criterios de gestion. Las otras opciones delegan, recortan el servicio o evaden el problema. / Ya auditado en L018; se conserva la trazabilidad previa y no se reprocesa en este lote."
CEOL_B02_I06,PILOTAJE_V1_RESERVA,65,gestion,actualizacion_restaurativa_del_manual,coordinador,funcional,content/restructuring-v1/docente/gestion/coordinador/funcional/CEOL_B02_I06.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I06.json",L013-B,LISTO_PARA_PILOTAJE,,auditoria/L013 | auditoria/L068 | auditoria/L078,no,,content/items/beta-v1/gestion/CEOL_B02_I06.json,"La clave es A porque el Manual de Convivencia no debe ser solo un catálogo de castigos; también debe orientar respuestas pedagógicas, reparadoras y proporcionales. / Trabaja actualización del Manual de Convivencia con sentido pedagógico, aunque no alcanza aún estándar de banco."
