lote,id_item,ruta_origen,carpeta_origen,decision,requiere_revision_humana,justificacion,resolucion
L079,IDD_B10_I01,"content/items/stand-by/Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento/IDD_B10_I01.json","Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento",DESCARTAR,false,"Aunque trae un microcaso, la tarea real es reconocer una formulación doctrinal del constructivismo. No mide mediación observable ni decisión docente concreta.","Se descarta."
L079,IDD_B10_I02,"content/items/stand-by/Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento/IDD_B10_I02.json","Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento",DESCARTAR,false,"El ítem se resuelve por etiqueta conceptual sobre tipos de memoria y no por actuación pedagógica situada o transferencia auténtica.","Se descarta."
L079,IDD_B10_I03,"content/items/stand-by/Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento/IDD_B10_I03.json","Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento",DESCARTAR,false,"Pese al contexto colaborativo, la pregunta termina siendo teoría pura sobre la función del lenguaje en Vygotsky.","Se descarta."
L079,IDD_B10_I04,"content/items/stand-by/Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento/IDD_B10_I04.json","Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento",DESCARTAR,false,"Predomina la retórica filosófica del constructivismo radical y no una decisión didáctica observable o aplicable al aula.","Se descarta."
L079,IDD_B10_I05,"content/items/stand-by/Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento/IDD_B10_I05.json","Constructivismo, Vygotsky, sujeto político y subjetividad del conocimiento",DESCARTAR,false,"El planteamiento sobre sujeto político y situado se queda en abstracción conceptual y no exige una actuación docente concreta.","Se descarta."
L079,MTV_B22_I01,"content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I01.json","Aprendizaje significativo Ausubel",LISTO_PARA_PILOTAJE,true,"Tiene transferencia mínima porque contrasta memoria y aplicación, pero la respuesta correcta depende demasiado del lenguaje canónico de Ausubel.","Se conserva para pilotaje."
L079,MTV_B22_I02,"content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I02.json","Aprendizaje significativo Ausubel",LISTO_PARA_PILOTAJE,true,"Parte de una mediación docente real sobre saberes previos, aunque la tarea final sigue siendo identificar una etiqueta teórica demasiado visible.","Se conserva para pilotaje."
L079,MTV_B22_I03,"content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I03.json","Aprendizaje significativo Ausubel",LISTO_PARA_PILOTAJE,true,"El desempeño comparado de dos estudiantes sí aporta transferencia auténtica, pero el dictamen teórico sigue muy guiado por terminología especializada.","Se conserva para pilotaje."
L079,MTV_B22_I04,"content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I04.json","Aprendizaje significativo Ausubel",DESCARTAR,false,"La pregunta depende casi por completo del reconocimiento literal de organizadores previos y sus tipos; el caso es decorativo.","Se descarta."
L079,MTV_B22_I05,"content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I05.json","Aprendizaje significativo Ausubel",LISTO_PARA_PILOTAJE,true,"Recoge una actuación docente concreta para activar disposición y sentido, aunque la clave sigue siendo más transparente que los distractores.","Se conserva para pilotaje."
