id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
CEOL_B09_I01,PILOTAJE_V1_CANDIDATO,90,competencias_ciudadanas,Apropiacion formativa de normas,por_confirmar,comportamental,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B09_I01.json,"content/items/stand-by/Gestión de aula, lectura, creatividad y honestidad académica/CEOL_B09_I01.json",L017,LISTO_PARA_BANCO,,auditoria/L017,no,,content/items/beta-v1/competencias_ciudadanas/CEOL_B09_I01.json,"La opcion correcta conecta la norma con comprension, corresponsabilidad y reparacion, que es la evidencia mas defendible de una convivencia escolar formativa y no meramente sancionatoria."
MTV_B08_I06,PILOTAJE_V1_CANDIDATO,90,competencias_ciudadanas,Comunicacion efectiva con familias,por_confirmar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/MTV_B08_I06.json,content/items/stand-by/Habilidades blandas y duras/MTV_B08_I06.json,L018,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L018 | auditoria/L065 | auditoria/L072,no,,content/items/beta-v1/competencias_ciudadanas/MTV_B08_I06.json,"La opcion A contiene escucha, autorregulacion, explicacion suficiente y una salida institucional proporcional. Es la unica que atiende la inquietud sin escalar el conflicto ni evadirlo. / La decisión se mantiene desde la auditoría previa porque el caso conserva actuación observable y requería solo validación adicional de taxonomía y distractores."
MTV_B08_I13,PILOTAJE_V1_CANDIDATO,90,competencias_ciudadanas,Intervencion restaurativa,por_confirmar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/MTV_B08_I13.json,content/items/stand-by/Habilidades blandas y duras/MTV_B08_I13.json,L018,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L018 | auditoria/L065 | auditoria/L072,no,,content/items/beta-v1/competencias_ciudadanas/MTV_B08_I13.json,"La opcion B es la unica que prioriza seguridad inmediata y tratamiento formativo posterior. Las otras opciones son punitivas, omisivas o solo cosméticas. / La decisión previa se mantiene porque el caso conserva valor aplicado en convivencia, aunque requiere contraste humano de alcance normativo y perfil."
CEOL_B02_I01,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,gestion_disciplinaria_con_enfoque_de_derechos,coordinador,comportamental,content/restructuring-v1/docente/competencias_ciudadanas/coordinador/comportamental/CEOL_B02_I01.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I01.json",L013-A,LISTO_PARA_PILOTAJE,,auditoria/L013 | auditoria/L068 | auditoria/L078,no,,content/items/beta-v1/competencias_ciudadanas/CEOL_B02_I01.json,"La clave es B porque el enfoque de derechos no elimina las consecuencias, pero exige debido proceso, valoración del caso y medidas proporcionales con finalidad pedagógica. / Recuperable como juicio situado sobre respuesta disciplinaria proporcional y pedagógica."
CEOL_B02_I05,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,respuesta_restaurativa_al_bullying,por_confirmar,comportamental,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B02_I05.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I05.json",L013-B,LISTO_PARA_PILOTAJE,,auditoria/L013 | auditoria/L068 | auditoria/L078,no,,content/items/beta-v1/competencias_ciudadanas/CEOL_B02_I05.json,"La clave es B porque la justicia restaurativa no equivale a impunidad ni a sanción aislada: exige protección, responsabilización, reparación y seguimiento. / Sostiene un juicio restaurativo defendible, pero aún requiere fortalecer plausibilidad competitiva de distractores."
CEOL_B04_I02,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,entorno_escolar_y_redes_de_proteccion,por_confirmar,comportamental,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B04_I02.json,"content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I02.json",L006-A,LISTO_PARA_PILOTAJE,,auditoria/L006,no,,content/items/beta-v1/competencias_ciudadanas/CEOL_B04_I02.json,"La clave es C porque responde desde la corresponsabilidad y la protección integral: reconoce el impacto del contexto, acompaña a los estudiantes, involucra a las familias y articula la red institucional y territorial sin criminalizar ni abandonar a la población escolar."
CEOL_B04_I04,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,dialogo_comunitario_y_prevencion,por_confirmar,comportamental,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B04_I04.json,"content/items/stand-by/Corresponsabilidad, entorno y cuidado institucional/CEOL_B04_I04.json",L006-A,LISTO_PARA_PILOTAJE,,auditoria/L006,no,,content/items/beta-v1/competencias_ciudadanas/CEOL_B04_I04.json,"La clave es D porque incorpora mediación comunitaria, lectura del entorno y corresponsabilidad preventiva. La respuesta correcta evita tanto la negación del problema como la criminalización de los estudiantes o la delegación exclusiva a la policía."
DIL_B06_I02,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,Participacion decorativa,preescolar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/DIL_B06_I02.json,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/DIL_B06_I02.json",L024,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L024 | auditoria/L053,no,,content/items/beta-v1/competencias_ciudadanas/DIL_B06_I02.json,"La opcion A es la unica que identifica la ausencia de informacion, consulta e incidencia como nucleo del problema. Las otras posiciones absolutizan o deforman la mediacion adulta. / Ítem ya auditado en L024 y registrado como omitido en L042; no se reprocesa."
DIL_B06_I03,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,Agenciamiento politico,preescolar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/DIL_B06_I03.json,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/DIL_B06_I03.json",L024,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L024 | auditoria/L053,no,,content/items/beta-v1/competencias_ciudadanas/DIL_B06_I03.json,"La opcion C es la unica que conjuga voz, lectura critica, incidencia gradual y acompanamiento. Las otras o instrumentalizan, silencian o adultizan de forma impropia la participacion. / Ítem ya auditado en L024 y registrado como omitido en L042; no se reprocesa."
DIL_B06_I04,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,Consulta con incidencia real,preescolar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/DIL_B06_I04.json,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/DIL_B06_I04.json",L024,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L024 | auditoria/L053,no,,content/items/beta-v1/competencias_ciudadanas/DIL_B06_I04.json,"La opcion B es la unica que incorpora informacion, expresion segura, procesamiento de aportes y devolucion con incidencia. Las otras confunden cobertura, agilidad administrativa o publicidad con participacion real. / Ítem ya auditado en L024 y registrado como omitido en L042; no se reprocesa."
