lote,carpeta,id_item,archivo,decision,justificacion,solapamiento_evidente
L067,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/",DIL_B06_I01,DIL_B06_I01.json,DESCARTAR,"Se resuelve por recuerdo casi literal del Artículo 12 de la CDN; pesa más la memoria normativa que la mediación pedagógica concreta.","Solapa con enfoque general de derechos de niñez."
L067,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/",DIL_B06_I02,DIL_B06_I02.json,LISTO_PARA_PILOTAJE,"El caso sí distingue participación simbólica de participación real, pero la clave queda demasiado favorecida y el marco Hart aparece de manera algo doctrinal.","Relacionable con ciudadanía y participación escolar."
L067,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/",DIL_B06_I03,DIL_B06_I03.json,DESCARTAR,"La respuesta correcta es moralmente evidente y los distractores son caricaturescos; baja discriminación esperable.","Solapa con ciudadanía y agencia estudiantil."
L067,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/",DIL_B06_I04,DIL_B06_I04.json,LISTO_PARA_PILOTAJE,"Exige valorar si una consulta escolar tuvo incidencia real y retroalimentación, con mediación auténtica; necesita pilotaje por clave muy visible.","Cercano a gobierno escolar y participación significativa."
L067,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/",NFL_B08_I01,NFL_B08_I01.json,LISTO_PARA_PILOTAJE,"Presenta una actuación pedagógica concreta sobre igualdad material y apoyos, pero los distractores incorrectos son demasiado fáciles de eliminar.","Solapa con inclusión aplicada y ajustes razonables."
L067,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/",NFL_B08_I02,NFL_B08_I02.json,DESCARTAR,"Pregunta por la definición de discriminación positiva y se resuelve doctrinalmente; no exige mediación escolar auténtica.","Superpuesto con igualdad material y acciones afirmativas."
L067,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/",NFL_B08_I03,NFL_B08_I03.json,LISTO_PARA_PILOTAJE,"Sitúa una barrera real y exige distinguir igualdad formal de igualdad material en evaluación, aunque la clave resalta demasiado.","Muy próximo a ajustes razonables e inclusión evaluativa."
L067,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/",NFL_B08_I04,NFL_B08_I04.json,LISTO_PARA_PILOTAJE,"La decisión sobre apoyos discretos y no estigmatizantes es pertinente y observable, pero con distractores poco competidores.","Conecta con apoyos dignos y no segregadores."
L067,"content/items/stand-by/Inclusión práctica vs. segregación en aula/",IDD_B06_I01,IDD_B06_I01.json,LISTO_PARA_PILOTAJE,"Distingue bien inclusión efectiva de segregación encubierta en aula, con propósito compartido de aprendizaje; requiere pilotaje por visibilidad de la clave.","Muy cercano al núcleo de inclusión práctica y PIAR."
L067,"content/items/stand-by/Inclusión práctica vs. segregación en aula/",IDD_B06_I02,IDD_B06_I02.json,LISTO_PARA_PILOTAJE,"Aterriza DUA en planificación inclusiva para todo el grupo; útil para banco, aunque todavía demasiado guiado hacia una respuesta esperable.","Se superpone con DUA y ajustes razonables."
L067,"content/items/stand-by/Inclusión práctica vs. segregación en aula/",IDD_B06_I03,IDD_B06_I03.json,LISTO_PARA_PILOTAJE,"La mediación intercultural es auténtica y evita convertir al estudiante en vocero forzado; conviene pilotaje por distractores extremos.","Cruza inclusión con convivencia y diversidad cultural."
L067,"content/items/stand-by/Inclusión práctica vs. segregación en aula/",IDD_B06_I04,IDD_B06_I04.json,DESCARTAR,"Se acerca más a una formulación doctrinal sobre qué es inclusión que a una decisión pedagógica situada con competencia real entre opciones.","Solapa con inclusión como acceso, participación y aprendizaje."
L067,"content/items/stand-by/Inclusión práctica vs. segregación en aula/",IDD_B06_I05,IDD_B06_I05.json,LISTO_PARA_PILOTAJE,"Mide bien la diferencia entre flexibilizar y rebajar expectativas, con actuación evaluativa concreta; queda mejor para pilotaje por clave demasiado limpia.","Relacionable con evaluación inclusiva y altas expectativas."
