lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L066,CEOL_B05_I01,"content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I01.json",,pedagogia,por_confirmar,basica,DESCARTAR,"Se resuelve por clasificación conceptual entre currículo oficial, oculto y nulo; no exige lectura institucional ni decisión docente observable.",false
L066,CEOL_B05_I02,"content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I02.json",,gestion,por_confirmar,basica,DESCARTAR,"Aunque usa contexto institucional, la tarea real es recordar la jerarquía documental entre PEI y Manual de Convivencia, con clave demasiado visible.",false
L066,CEOL_B05_I03,"content/items/stand-by/PEI, currículo oficial y Manual de Convivencia/CEOL_B05_I03.json",,gestion,por_confirmar,basica,DESCARTAR,"Convierte la articulación PEI-currículo-manual en taxonomía memorística de funciones, sin una decisión institucional situada que discrimine juicio profesional.",false
L066,CB08_I01,"content/items/stand-by/Referentes PEI/CB08_I01.json",,gestion,por_confirmar,basica,DESCARTAR,"Reduce el PEI a una lista genérica de referentes y se responde por exclusión fácil, sin lectura institucional situada suficiente.",false
L066,CB08_I02,"content/items/stand-by/Referentes PEI/CB08_I02.json",content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB08_I02.json,gestion,por_confirmar,funcional,LISTO_PARA_BANCO,"Evalúa coherencia interna del PEI a partir de un desajuste concreto entre misión institucional y acciones pedagógicas y de convivencia.",false
L066,CB08_I03,"content/items/stand-by/Referentes PEI/CB08_I03.json",content/restructuring-v1/docente/gestion/por_confirmar/funcional/CB08_I03.json,gestion,por_confirmar,funcional,LISTO_PARA_BANCO,"Usa diagnóstico institucional para forzar una decisión de planeación priorizada y bien situada dentro del PMI y del PEI.",false
L066,GA02_B05_I01,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I01_concepto_curriculo.json",,pedagogia,por_confirmar,basica,DESCARTAR,"Memoria definicional del concepto legal de currículo sin lectura institucional ni valor docente auténtico.",false
L066,GA02_B05_I02,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I02_curriculo_oficial.json",,pedagogia,por_confirmar,basica,DESCARTAR,"La respuesta depende de distinguir currículo oficial por reconocimiento doctrinal y no por decisión curricular situada.",false
L066,GA02_B05_I03,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I03_curriculo_oculto.json",,pedagogia,por_confirmar,basica,DESCARTAR,"Aunque tiene contexto de aula, termina pidiendo nombrar el currículo oculto como categoría; domina la taxonomía sobre la utilidad psicométrica.",false
L066,GA02_B05_I04,"content/items/stand-by/Concepto y tipos de currículo/GA02_B05_I04_curriculo_nulo.json",,pedagogia,por_confirmar,basica,DESCARTAR,"Se reduce a identificar la etiqueta de currículo nulo a partir de una definición extensa; no exige decisión curricular observable.",false
