lote,carpeta,id_item,archivo,decision,justificacion,solapamiento
L076,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/",DIL_B04_I01,DIL_B04_I01.json,LISTO_PARA_PILOTAJE,"Exige una decisión institucional observable de registro, reporte y activación de ruta ante indicios graves de vulneración; queda para pilotaje porque la clave sobresale demasiado frente a distractores extremos.","Se cruza con deber de cuidado y rutas de protección ya vistos en otros lotes."
L076,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/",DIL_B04_I02,DIL_B04_I02.json,DESCARTAR,"Se resuelve por doctrina plana sobre la prohibición de tratos degradantes y por recordar el principio jurídico aplicable; no exige una toma de decisiones situada robusta.","Relacionable con convivencia y dignidad escolar."
L076,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/",DIL_B04_I03,DIL_B04_I03.json,LISTO_PARA_PILOTAJE,"Sí mide la activación correcta de la ruta externa y los límites de competencia de la escuela en situaciones tipo III; necesita pilotaje por distractores muy obvios.","Cruza con convivencia escolar y rutas tipo III."
L076,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/",DIL_B04_I04,DIL_B04_I04.json,LISTO_PARA_PILOTAJE,"La actuación confidencial y protectora es concreta y observable, con buen foco en dignidad e intimidad; queda en pilotaje por facilidad de descarte de opciones incorrectas.","Conecta con protección de datos sensibles y restablecimiento de derechos."
L076,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/",DIL_B04_I05,DIL_B04_I05.json,LISTO_PARA_PILOTAJE,"Mide una respuesta proporcional y restaurativa ante una falta de convivencia, sin humillación ni castigo degradante; la clave sigue demasiado limpia para banco directo.","Se solapa con enfoque restaurativo y debido proceso."
L076,"content/items/stand-by/Menor infractor, edad penal y rutas de protección/",DIL_B05_I01,DIL_B05_I01.json,DESCARTAR,"Aunque parte de un caso, la resolución depende sobre todo de recordar la inimputabilidad absoluta del menor de 14 años y la clasificación jurídica correspondiente.","Cruza con edad penal y restablecimiento de derechos."
L076,"content/items/stand-by/Menor infractor, edad penal y rutas de protección/",DIL_B05_I02,DIL_B05_I02.json,DESCARTAR,"Se centra en la consecuencia jurídica de un adolescente de 13 años y cae en memoria legal literal sobre el SRPA y la autoridad competente.","Muy próximo a clasificación legal por rango de edad."
L076,"content/items/stand-by/Menor infractor, edad penal y rutas de protección/",DIL_B05_I03,DIL_B05_I03.json,DESCARTAR,"La tarea consiste en distinguir el régimen de 13 vs 15 años, lo que la vuelve una clasificación normativa más que una decisión institucional situada.","Se superpone con edad penal y SRPA."
L076,"content/items/stand-by/PARD y restablecimiento de derechos/",DIL_B02_I01,DIL_B02_I01.json,DESCARTAR,"Pregunta por el significado de la sigla PARD y su objetivo general; es memoria jurídica plana.","Solapa con conceptos básicos de restablecimiento de derechos."
L076,"content/items/stand-by/PARD y restablecimiento de derechos/",DIL_B02_I02,DIL_B02_I02.json,LISTO_PARA_PILOTAJE,"Sí discrimina entre una dificultad escolar ordinaria y una vulneración que exige activar ruta de protección; conviene pilotaje porque la clave queda muy favorecida.","Relacionable con deber de reporte y protección integral."
L076,"content/items/stand-by/PARD y restablecimiento de derechos/",DIL_B02_I05,DIL_B02_I05.json,DESCARTAR,"Se limita a describir doctrinalmente la medida de hogar sustituto; no exige actuación institucional ni activación situada de rutas.","Cruza con medidas de protección del PARD."
L076,"content/items/stand-by/PARD y restablecimiento de derechos/",DIL_B02_I06,DIL_B02_I06.json,LISTO_PARA_PILOTAJE,"Evalúa bien los límites de competencia de la escuela y la obligación de reportar sin investigar judicialmente; queda para pilotaje por visibilidad de la respuesta correcta.","Conecta con responsabilidad legal y protección integral."
