orden_piloto,estado_pilotaje,id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
33,PILOTAJE_V1,EFCC_B06_I01,PILOTAJE_V1_CANDIDATO,90,pedagogia,Promoción en educación inicial,preescolar,funcional,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EFCC_B06_I01.json,"content/items/stand-by/Evaluación cualitativa, formativa y participativa/EFCC_B06_I01.json",L054,LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L015 | auditoria/L054 | auditoria/L074,no,,content/items/beta-v1/pedagogia/EFCC_B06_I01.json,La evaluación cualitativa en preescolar se orienta al seguimiento del desarrollo y no a la repitencia; la decisión pedagógica correcta es asegurar continuidad con información descriptiva útil. / No se queda en el discurso participativo; exige decisión evaluativa situada.
34,PILOTAJE_V1,EFCC_B06_I02,PILOTAJE_V1_CANDIDATO,90,pedagogia,Informes cualitativos en preescolar,preescolar,funcional,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EFCC_B06_I02.json,"content/items/stand-by/Evaluación cualitativa, formativa y participativa/EFCC_B06_I02.json",L054,LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L015 | auditoria/L054 | auditoria/L074,no,,content/items/beta-v1/pedagogia/EFCC_B06_I02.json,"La evaluación cualitativa no elimina criterios ni informes: exige descripciones integrales útiles para familia y escuela, evitando jerarquías numéricas impropias del nivel. / Mantiene foco en uso formativo de la información y coherencia del nivel preescolar."
35,PILOTAJE_V1,EFCC_B06_I03,PILOTAJE_V1_CANDIDATO,90,pedagogia,Seguimiento continuo en educación inicial,preescolar,funcional,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EFCC_B06_I03.json,"content/items/stand-by/Evaluación cualitativa, formativa y participativa/EFCC_B06_I03.json",L054,LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L015 | auditoria/L054 | auditoria/L074,no,,content/items/beta-v1/pedagogia/EFCC_B06_I03.json,La evaluación formativa se reconoce cuando la información se recolecta a lo largo del proceso y se usa para intervenir la enseñanza mientras el aprendizaje aún puede mejorar. / Tiene ajuste pedagógico auténtico y evita la pseudoformatividad declarativa.
47,PILOTAJE_V1,EIP_B02_I05,PILOTAJE_V1_CANDIDATO,90,normatividad,Promoción y apoyo pedagógico en preescolar,preescolar,funcional,content/restructuring-v1/docente/normatividad/preescolar/funcional/EIP_B02_I05.json,content/items/stand-by/Marco legal del preescolar y organización del nivel/EIP_B02_I05.json,L022,LISTO_PARA_BANCO,,auditoria/L022,no,,content/items/beta-v1/normatividad/EIP_B02_I05.json,La respuesta correcta mantiene el enfoque del nivel: acompañar el desarrollo con apoyos pedagógicos sin convertir las diferencias de ritmo en causal de reprobación o exclusión.
61,PILOTAJE_V1,DIL_B06_I02,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,Participacion decorativa,preescolar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/DIL_B06_I02.json,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/DIL_B06_I02.json",L024,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L024 | auditoria/L053,no,,content/items/beta-v1/competencias_ciudadanas/DIL_B06_I02.json,"La opcion A es la unica que identifica la ausencia de informacion, consulta e incidencia como nucleo del problema. Las otras posiciones absolutizan o deforman la mediacion adulta. / Ítem ya auditado en L024 y registrado como omitido en L042; no se reprocesa."
62,PILOTAJE_V1,DIL_B06_I03,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,Agenciamiento politico,preescolar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/DIL_B06_I03.json,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/DIL_B06_I03.json",L024,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L024 | auditoria/L053,no,,content/items/beta-v1/competencias_ciudadanas/DIL_B06_I03.json,"La opcion C es la unica que conjuga voz, lectura critica, incidencia gradual y acompanamiento. Las otras o instrumentalizan, silencian o adultizan de forma impropia la participacion. / Ítem ya auditado en L024 y registrado como omitido en L042; no se reprocesa."
63,PILOTAJE_V1,DIL_B06_I04,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,Consulta con incidencia real,preescolar,funcional,content/restructuring-v1/docente/competencias_ciudadanas/preescolar/funcional/DIL_B06_I04.json,"content/items/stand-by/Participación infantil, agencia y Convención sobre los Derechos del Niño/DIL_B06_I04.json",L024,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L024 | auditoria/L053,no,,content/items/beta-v1/competencias_ciudadanas/DIL_B06_I04.json,"La opcion B es la unica que incorpora informacion, expresion segura, procesamiento de aportes y devolucion con incidencia. Las otras confunden cobertura, agilidad administrativa o publicidad con participacion real. / Ítem ya auditado en L024 y registrado como omitido en L042; no se reprocesa."
84,PILOTAJE_V1,EFCC_B06_I05,PILOTAJE_V1_CANDIDATO,90,pedagogia,Autoevaluación y coevaluación en transición,preescolar,funcional,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EFCC_B06_I05.json,"content/items/stand-by/Evaluación cualitativa, formativa y participativa/EFCC_B06_I05.json",L054,LISTO_PARA_BANCO | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L015 | auditoria/L054 | auditoria/L074,no,,content/items/beta-v1/pedagogia/EFCC_B06_I05.json,"En transición, la participación evaluativa gana sentido cuando se apoya en oralidad, representación gráfica y mediación cercana del docente. / Tiene mejor anclaje en práctica evaluativa real y no depende de palabras obvias."
89,PILOTAJE_V1,EIP_B04_I02,PILOTAJE_V1_CANDIDATO,90,pedagogia,Singularidad y diversidad en la infancia,preescolar,funcional,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B04_I02.json,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I02.json",L019,LISTO_PARA_BANCO,,auditoria/L019,no,,content/items/beta-v1/pedagogia/EIP_B04_I02.json,"La opción correcta reconoce que la identidad infantil se construye cuando la escuela legitima la singularidad, la historia y la expresión emocional, en lugar de estandarizar las producciones."
90,PILOTAJE_V1,EIP_B04_I03,PILOTAJE_V1_CANDIDATO,90,pedagogia,Desarrollo de la autonomía en transición,preescolar,funcional,content/restructuring-v1/docente/pedagogia/preescolar/funcional/EIP_B04_I03.json,"content/items/stand-by/Identidad, autonomía y reconocimiento del cuerpo/EIP_B04_I03.json",L019,LISTO_PARA_BANCO,,auditoria/L019,no,,content/items/beta-v1/pedagogia/EIP_B04_I03.json,La autonomía infantil no es abandono pedagógico ni autosuficiencia temprana; se construye gradualmente en situaciones cotidianas con mediación del docente.
