id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
NFL_B08_I01,PILOTAJE_CON_AJUSTE,90,normatividad,Ajustes razonables y barreras,por_confirmar,funcional,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/NFL_B08_I01.json,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I01.json",L039,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L001 | auditoria/L019 | auditoria/L039 | fase-5b/banco-operacional/part-003.csv | fase-5b/remediacion-liviana/part-003.csv,no,,content/items/beta-v1/normatividad/NFL_B08_I01.json,"La igualdad material exige remover barreras con apoyos pertinentes, no uniformar el trato ni vaciar la experiencia educativa de propósito pedagógico. / La igualdad material exige responder a barreras reales con apoyos y ajustes razonables; no equivale ni a uniformidad ni a renuncia al aprendizaje."
GA02_B03_I03,PILOTAJE_CON_AJUSTE,90,pedagogia,didactica_y_planeacion,orientador,funcional,content/items/pedagogia/GA02_B03_I03.json,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I03.json",L043,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L012 | auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/banco-operacional/part-001.csv | fase-5b/remediacion-liviana/part-001.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I03.json,El PIAR requiere articulación interdisciplinaria y corresponsabilidad.
MTV_B22_I02,PILOTAJE_CON_AJUSTE,90,pedagogia,aprendizaje_significativo,por_confirmar,funcional,content/items/pedagogia/MTV_B22_I02.json,content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I02.json,L047,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L033 | auditoria/L047 | auditoria/L061 | auditoria/L079 | content/items | content/items/_banco-operacional.csv | fase-5b/banco-operacional/part-002.csv | fase-5b/remediacion-liviana/part-002.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/MTV_B22_I02.json,La opción A es la mejor respuesta porque la secuencia parte de experiencias conocidas para enlazar el nuevo contenido con significados ya disponibles en los estudiantes.
MTV_B22_I06,PILOTAJE_CON_AJUSTE,90,pedagogia,aprendizaje_significativo,por_confirmar,funcional,content/items/pedagogia/MTV_B22_I06.json,content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I06.json,L047,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L033 | auditoria/L047 | auditoria/L061 | auditoria/L079 | content/items | content/items/_banco-operacional.csv | fase-5b/banco-operacional/part-002.csv | fase-5b/remediacion-liviana/part-002.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/MTV_B22_I06.json,La opción A es la mejor respuesta porque la docente parte de una concepción previa y la somete a contraste con evidencia para favorecer comprensión más elaborada.
MTV_B22_I09,PILOTAJE_CON_AJUSTE,90,pedagogia,aprendizaje_significativo,por_confirmar,funcional,content/items/pedagogia/MTV_B22_I09.json,content/items/stand-by/Aprendizaje significativo Ausubel/MTV_B22_I09.json,L047,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L033 | auditoria/L047 | auditoria/L061 | auditoria/L079 | content/items | content/items/_banco-operacional.csv | fase-5b/banco-operacional/part-002.csv | fase-5b/remediacion-liviana/part-002.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/MTV_B22_I09.json,La opción B es la mejor porque parte de situaciones familiares que ayudan a enlazar el nuevo concepto con experiencias previas antes de avanzar a la formalización.
NFL_B08_I03,PILOTAJE_CON_AJUSTE,75,normatividad,Igualdad formal versus igualdad material,por_confirmar,funcional,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/NFL_B08_I03.json,"content/items/stand-by/Igualdad material, discriminación positiva y debilidad manifiesta/NFL_B08_I03.json",L039,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L019 | auditoria/L039 | fase-5b/banco-operacional/part-003.csv | fase-5b/remediacion-liviana/part-003.csv,no,,content/items/beta-v1/normatividad/NFL_B08_I03.json,La igualdad material obliga a considerar las barreras reales de acceso y participación; por eso un trato idéntico puede producir exclusión cuando niega ajustes necesarios.
EIP_B07_I01,PILOTAJE_CON_AJUSTE,75,pedagogia,Comprension conceptual en secundaria,secundaria_media,funcional,content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/EIP_B07_I01.json,content/items/stand-by/Pensamiento científico y didáctica en básica secundaria/EIP_B07_I01.json,L043,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L024 | auditoria/L043 | fase-5b/banco-operacional/part-001.csv | fase-5b/remediacion-liviana/part-001.csv,no,,content/items/beta-v1/pedagogia/EIP_B07_I01.json,La opcion B es la unica que cuestiona la ausencia de indagacion y sentido fenomenico sin caer en negaciones caricaturescas del conocimiento cientifico o del uso de formulas.
EIP_B07_I02,PILOTAJE_CON_AJUSTE,75,pedagogia,Indagacion experimental,secundaria_media,funcional,content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/EIP_B07_I02.json,content/items/stand-by/Pensamiento científico y didáctica en básica secundaria/EIP_B07_I02.json,L043,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L024 | auditoria/L043 | fase-5b/banco-operacional/part-001.csv | fase-5b/remediacion-liviana/part-001.csv,no,,content/items/beta-v1/pedagogia/EIP_B07_I02.json,"La opcion A es la unica que integra observacion, relacion variable-fenomeno y construccion explicativa. Las otras minimizan el papel del analisis o reducen la actividad a motivacion superficial."
EIP_B07_I03,PILOTAJE_CON_AJUSTE,75,pedagogia,Ajuste metodologico,secundaria_media,funcional,content/restructuring-v1/docente/pedagogia/secundaria_media/funcional/EIP_B07_I03.json,content/items/stand-by/Pensamiento científico y didáctica en básica secundaria/EIP_B07_I03.json,L043,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L024 | auditoria/L043 | fase-5b/banco-operacional/part-001.csv | fase-5b/remediacion-liviana/part-001.csv,no,,content/items/beta-v1/pedagogia/EIP_B07_I03.json,"La opcion B es la unica que reorienta la metodologia hacia indagacion, evidencia y transferencia. Las otras respuestas profundizan justo el problema descrito."
IDD_B06_I01,PILOTAJE_CON_AJUSTE,75,pedagogia,participacion en el mismo proposito de aprendizaje,por_confirmar,funcional,content/restructuring-v1/docente/pedagogia/por_confirmar/funcional/IDD_B06_I01.json,content/items/stand-by/Inclusión práctica vs. segregación en aula/IDD_B06_I01.json,L039,LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L020 | auditoria/L039 | fase-5b/banco-operacional/part-004.csv | fase-5b/remediacion-liviana/part-004.csv,no,,content/items/beta-v1/pedagogia/IDD_B06_I01.json,"La opcion A mantiene el nucleo de la educacion inclusiva: mismo proposito formativo, participacion y apoyos pertinentes. Una tarea paralela sin valor curricular compartido produce segregacion encubierta."
