id_item,macrodominio,motivo_pilotaje
PPDC_B07_I01,didactica_y_mediacion,"requiere fortalecimiento distractores"
MTV_B24_I01,didactica_y_mediacion,"clave parcialmente visible"
MTV_B24_I04,didactica_y_mediacion,"requiere calibracion"
DIL_B03_I01,inclusion_y_enfoque_diferencial,"riesgo de respuesta moralmente visible"
DIL_B03_I03,inclusion_y_enfoque_diferencial,"distractores poco competidores"
IDD_B06_I01,inclusion_y_enfoque_diferencial,"ajustes aun previsibles"
IDD_B06_I03,inclusion_y_enfoque_diferencial,"requiere tension cognitiva mayor"
IDD_B06_I05,inclusion_y_enfoque_diferencial,"necesita refinamiento contextual"
PPDC_B02_I01,competencias_docentes,"mediacion util pero distractores debiles"
PPDC_B02_I02,competencias_docentes,"pseudoempatia parcialmente visible"
