id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
CEOL_B03_I05,PILOTAJE_V1_CANDIDATO,90,gestion,Limites frente a intervencion clinica,orientador,funcional,content/restructuring-v1/docente/gestion/orientador/funcional/CEOL_B03_I05.json,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I05.json",L027,LISTO_PARA_BANCO,,auditoria/L027,no,,content/items/beta-v1/gestion/CEOL_B03_I05.json,"La opcion correcta delimita con claridad el alcance pedagogico del orientador y remite el componente clinico a la red de salud, evitando confundir acompanamiento escolar con psicoterapia."
CEOL_B03_I02,PILOTAJE_V1_CANDIDATO,90,normatividad,Limites frente a vulneracion grave de derechos,orientador,funcional,content/restructuring-v1/docente/normatividad/orientador/funcional/CEOL_B03_I02.json,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I02.json",L027,LISTO_PARA_BANCO,,auditoria/L027,no,,content/items/beta-v1/normatividad/CEOL_B03_I02.json,"La opcion correcta delimita con precision el rol del orientador frente a vulneraciones graves: contener, proteger y activar la ruta, no investigar ni producir prueba judicial."
DIL_B05_I01,PILOTAJE_V1_CANDIDATO,90,normatividad,menor_infractor,orientador,funcional,content/items/normatividad/DIL_B05_I01.json,"content/items/stand-by/Menor infractor, edad penal y rutas de protección/DIL_B05_I01.json",L064,BANCO_OPERACIONAL | LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE | Listo para el banco,,auditoria/L022 | auditoria/L064 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/DIL_B05_I01.json,"La respuesta correcta activa la ruta de protección y restablecimiento correspondiente para un menor de 14 años, evitando judicialización penal ordinaria y respuestas expulsivas o ilegales."
DIL_B04_I03,PILOTAJE_V1_CANDIDATO,90,pedagogia,Limites de la investigacion escolar,orientador,funcional,content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B04_I03.json,"content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I03.json",L081,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L027 | auditoria/L068 | auditoria/L078 | auditoria/L081,no,,content/items/beta-v1/pedagogia/DIL_B04_I03.json,"El caso es pertinente y situado, pero la clave aún compite poco con distractores débiles. / La opcion correcta diferencia con nitidez la funcion protectora de la escuela frente a la investigacion judicial y evita practicas que podrian revictimizar o retrasar la respuesta estatal."
GA02_B03_I03,PILOTAJE_CON_AJUSTE,90,pedagogia,didactica_y_planeacion,orientador,funcional,content/items/pedagogia/GA02_B03_I03.json,"content/items/stand-by/Didáctica, diversidad y planeación de aula/GA02_B03_I03.json",L043,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA | OPERACIONAL_AJUSTADO,ajuste_menor_pre_pilotaje | pilotar,auditoria/L012 | auditoria/L043 | content/items | content/items/_banco-operacional.csv | fase-5b/banco-operacional/part-001.csv | fase-5b/remediacion-liviana/part-001.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/pedagogia/GA02_B03_I03.json,El PIAR requiere articulación interdisciplinaria y corresponsabilidad.
DIL_B09_I01,PILOTAJE_V1_CANDIDATO,85,normatividad,proteccion_infancia,orientador,funcional,content/items/no-beta-v1/banco-operacional-previo/normatividad/DIL_B09_I01.json,content/items/stand-by/Trabajo infantil y edad mínima/DIL_B09_I01.json,L064,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE,,auditoria/L028 | auditoria/L064 | auditoria/L078 | content/items,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/DIL_B09_I01.json,"Tiene actuación escolar situada, pero depende demasiado del umbral legal y deja una clave muy visible. / La combinacion de edad, dedicacion laboral y afectacion de la escolaridad configura un riesgo de vulneracion de derechos que exige proteccion y orientacion institucional."
DIL_B09_I02,PILOTAJE_V1_CANDIDATO,85,normatividad,proteccion_infancia,orientador,funcional,content/items/no-beta-v1/banco-operacional-previo/normatividad/DIL_B09_I02.json,content/items/stand-by/Trabajo infantil y edad mínima/DIL_B09_I02.json,L064,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE,,auditoria/L028 | auditoria/L064 | auditoria/L078 | content/items,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/DIL_B09_I02.json,"Mejor que el anterior en proporcionalidad institucional, aunque los distractores siguen siendo demasiado extremos. / La escuela no debe autorizar informalmente ni prohibir de manera absoluta; debe orientar, verificar condiciones de proteccion y hacer seguimiento a la continuidad educativa y al bienestar."
IDD_B18_I04,PILOTAJE_V1_RESERVA,65,normatividad,Castigo físico y enfoque restaurativo,orientador,funcional,content/restructuring-v1/docente/normatividad/orientador/funcional/IDD_B18_I04.json,"content/items/stand-by/Dignidad humana, equidad y columna vertebral del Código de Infancia/IDD_B18_I04.json",L012,LISTO_PARA_PILOTAJE,,auditoria/L012,no,,content/items/beta-v1/normatividad/IDD_B18_I04.json,Integra protección del menor y orientación restaurativa proporcional.
CEOL_B03_I01,PILOTAJE_V1_RESERVA,65,pedagogia,Corresponsabilidad en proyectos transversales,orientador,funcional,content/restructuring-v1/docente/pedagogia/orientador/funcional/CEOL_B03_I01.json,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I01.json",L027,LISTO_PARA_PILOTAJE,,auditoria/L027,no,,content/items/beta-v1/pedagogia/CEOL_B03_I01.json,"La opcion correcta mantiene la corresponsabilidad institucional y delimita el papel del orientador como asesor y articulador, no como sustituto de la accion pedagogica del conjunto docente."
DIL_B05_I02,DESCARTE_TECNICO,-100,normatividad,menor_infractor,orientador,funcional,content/items/normatividad/DIL_B05_I02.json,"content/items/stand-by/Menor infractor, edad penal y rutas de protección/DIL_B05_I02.json",L064,BANCO_OPERACIONAL | DESCARTAR | LISTO_PARA_PILOTAJE | Listo para el banco,,auditoria/L022 | auditoria/L064 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/restructuring-v1/00-beta-v1/remanufactura/DIL_B05_I02.json,"La respuesta correcta aplica la ruta administrativa de protección correspondiente a menores de 14 años, no el régimen penal adolescente ni la justicia ordinaria."
