lote,id_item,ruta_origen,ruta_destino_propuesta,area,perfil,tipo,decision,motivo,requiere_revision_humana
L078,DIL_B09_I01,content/items/stand-by/Trabajo infantil y edad mínima/DIL_B09_I01.json,content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B09_I01.json,normatividad,orientador,funcional,LISTO_PARA_PILOTAJE,"El caso activa protección integral de forma situada, pero la clave queda demasiado visible y depende bastante del umbral legal de edad mínima.",false
L078,DIL_B09_I02,content/items/stand-by/Trabajo infantil y edad mínima/DIL_B09_I02.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/DIL_B09_I02.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Diferencia trabajo adolescente protegido y riesgo de explotación con mejor proporcionalidad institucional, aunque los distractores siguen siendo extremos.",false
L078,CEOL_B02_I01,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I01.json,content/restructuring-v1/docente/competencias_ciudadanas/coordinador/comportamental/CEOL_B02_I01.json,competencias_ciudadanas,coordinador,comportamental,LISTO_PARA_PILOTAJE,"Recuperable tras ajuste; la gestión disciplinaria se reubica como juicio situado sobre respuesta proporcional y pedagógica.",false
L078,CEOL_B02_I02,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I02.json,,competencias_ciudadanas,por_confirmar,basica,DESCARTAR,"Pregunta una definición práctica de sujeto de derechos pero no exige decisión profesional real; distractores demasiado obvios.",false
L078,CEOL_B02_I03,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I03.json,,normatividad,por_confirmar,basica,DESCARTAR,"Depende de recordar la prevalencia constitucional de derechos de NNA y no discrimina bien en contexto laboral escolar.",false
L078,CEOL_B02_I04,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I04.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B02_I04.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; permite evaluar tipicidad y legalidad previa en una decisión disciplinaria escolar.",false
L078,CEOL_B02_I05,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I05.json,content/restructuring-v1/docente/competencias_ciudadanas/por_confirmar/comportamental/CEOL_B02_I05.json,competencias_ciudadanas,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Recuperable; se conserva como juicio restaurativo situado sobre bullying, con perfil aún por confirmar.",true
L078,CEOL_B02_I06,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I06.json,content/restructuring-v1/docente/gestion/coordinador/funcional/CEOL_B02_I06.json,gestion,coordinador,funcional,LISTO_PARA_PILOTAJE,"Recuperable; trabaja actualización del Manual de Convivencia como instrumento pedagógico y restaurativo.",false
L078,CEOL_B02_I07,content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I07.json,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B02_I07.json,normatividad,coordinador,funcional,LISTO_PARA_PILOTAJE,"El caso exige una actuación institucional observable con escucha, contradicción, proporcionalidad y reparación, pero la clave sigue demasiado visible frente a distractores extremos y moralmente débiles.",true
L078,DIL_B04_I01,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/DIL_B04_I01.json,normatividad,por_confirmar,funcional,LISTO_PARA_BANCO,"Exige actuación situada de protección y activación de ruta; no depende de memoria genérica de deberes.",false
L078,DIL_B04_I02,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I02.json,,normatividad,por_confirmar,basica,DESCARTAR,"Se resuelve por recuerdo del principio jurídico que prohíbe tratos degradantes y no por una decisión profesional observable.",false
L078,DIL_B04_I03,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I03.json,content/restructuring-v1/docente/normatividad/orientador/funcional/DIL_B04_I03.json,normatividad,orientador,funcional,LISTO_PARA_PILOTAJE,"El caso es pertinente y situado, pero la clave sigue demasiado visible frente a distractores jurídicamente débiles.",true
L078,DIL_B04_I04,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I04.json,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/DIL_B04_I04.json,normatividad,por_confirmar,funcional,LISTO_PARA_PILOTAJE,"Buena tarea sobre confidencialidad y protección, aunque con opciones incorrectas demasiado extremas.",true
L078,DIL_B04_I05,content/items/stand-by/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I05.json,content/restructuring-v1/docente/normatividad/por_confirmar/comportamental/DIL_B04_I05.json,normatividad,por_confirmar,comportamental,LISTO_PARA_PILOTAJE,"Mide respuesta formativa no degradante, pero conserva una clave muy previsible ante distractores poco competitivos.",true
