id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
CEOL_B02_I07,PILOTAJE_V1_CANDIDATO,90,normatividad,Actuación disciplinaria restaurativa,coordinador,funcional,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B02_I07.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I07.json",L045,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L045 | auditoria/L056 | auditoria/L068 | auditoria/L078 | fase-5/pilotaje,no,,content/items/beta-v1/normatividad/CEOL_B02_I07.json,"Registro corregido desde L056 con trazabilidad de lote verificable. / La opción B es la mejor respuesta porque articula garantías mínimas del debido proceso con una salida restaurativa que busca reparación y seguimiento, no solo castigo o cierre informal. / La opción A es la más sólida porque combina garantías procedimentales, documentación, proporcionalidad y reparación. No renuncia al enfoque restaurativo, pero tampoco elimina la trazabilidad ni el análisis individual de responsabilidades. / E"
NFL_B03_I01,PILOTAJE_V1_CANDIDATO,90,normatividad,debido_proceso,coordinador,funcional,content/items/normatividad/NFL_B03_I01.json,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I01.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L010 | auditoria/L035 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/NFL_B03_I01.json,"La clave es C porque una medida extrema exige proceso previo, posibilidad real de defensa y valoración integral del caso, incluida la posible incidencia de necesidades de apoyo o de inclusión."
NFL_B03_I02,PILOTAJE_V1_CANDIDATO,90,normatividad,debido_proceso,coordinador,funcional,content/items/normatividad/NFL_B03_I02.json,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I02.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L010 | auditoria/L035 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/NFL_B03_I02.json,"La clave es A porque la congruencia exige correspondencia entre cargos comunicados, debate y decisión final. Si la institución sanciona por hechos nuevos sin permitir contradicción, rompe el derecho de defensa."
NFL_B03_I05,PILOTAJE_V1_CANDIDATO,90,normatividad,debido_proceso,coordinador,funcional,content/items/normatividad/NFL_B03_I05.json,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I05.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L010 | auditoria/L035 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/NFL_B03_I05.json,"La clave es A porque sin conocimiento previo de los cargos ni oportunidad de responder, el estudiante y su familia quedan privados del núcleo básico del derecho de defensa."
NFL_B03_I03,PILOTAJE_V1_CANDIDATO,85,normatividad,debido_proceso,coordinador,funcional,content/items/no-beta-v1/banco-operacional-previo/normatividad/NFL_B03_I03.json,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I03.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L010 | auditoria/L035 | content/items,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/NFL_B03_I03.json,"La clave es A porque la autonomía escolar no autoriza crear sanciones ad hoc. La medida debe ser previsible y estar previamente definida, de modo que el estudiante conozca de antemano el marco sancionatorio aplicable."
NFL_B03_I04,PILOTAJE_V1_CANDIDATO,85,normatividad,debido_proceso,coordinador,funcional,content/items/no-beta-v1/banco-operacional-previo/normatividad/NFL_B03_I04.json,"content/items/stand-by/Debido proceso, congruencia y medidas correctivas extremas/NFL_B03_I04.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L010 | auditoria/L035 | content/items,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/NFL_B03_I04.json,"La clave es B porque el problema central no es probar culpabilidad sino graduar la respuesta. Una medida extrema frente a una falta leve sin antecedentes rompe la correspondencia entre hecho, contexto y finalidad pedagógica de la sanción."
CEOL_B02_I01,PILOTAJE_V1_RESERVA,65,competencias_ciudadanas,gestion_disciplinaria_con_enfoque_de_derechos,coordinador,funcional,content/restructuring-v1/docente/competencias_ciudadanas/coordinador/comportamental/CEOL_B02_I01.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I01.json",L013-A,LISTO_PARA_PILOTAJE,,auditoria/L013 | auditoria/L068 | auditoria/L078,no,,content/items/beta-v1/competencias_ciudadanas/CEOL_B02_I01.json,"La clave es B porque el enfoque de derechos no elimina las consecuencias, pero exige debido proceso, valoración del caso y medidas proporcionales con finalidad pedagógica. / Recuperable como juicio situado sobre respuesta disciplinaria proporcional y pedagógica."
CEOL_B02_I06,PILOTAJE_V1_RESERVA,65,gestion,actualizacion_restaurativa_del_manual,coordinador,funcional,content/restructuring-v1/docente/gestion/coordinador/funcional/CEOL_B02_I06.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I06.json",L013-B,LISTO_PARA_PILOTAJE,,auditoria/L013 | auditoria/L068 | auditoria/L078,no,,content/items/beta-v1/gestion/CEOL_B02_I06.json,"La clave es A porque el Manual de Convivencia no debe ser solo un catálogo de castigos; también debe orientar respuestas pedagógicas, reparadoras y proporcionales. / Trabaja actualización del Manual de Convivencia con sentido pedagógico, aunque no alcanza aún estándar de banco."
IDD_B05_I02,PILOTAJE_V1_RESERVA,65,gestion,estrategia_institucional_de_accesibilidad,coordinador,funcional,content/restructuring-v1/docente/gestion/coordinador/funcional/IDD_B05_I02.json,"content/items/stand-by/Docente de apoyo, orientador y valoración pedagógica/IDD_B05_I02.json",L013-A,LISTO_PARA_PILOTAJE,,auditoria/L013,no,,content/items/beta-v1/gestion/IDD_B05_I02.json,"La clave es A porque la inclusión sostenible exige una respuesta institucional coordinada y no soluciones aisladas, condicionadas o delegadas a un solo actor."
IDD_B05_I04,PILOTAJE_V1_RESERVA,65,gestion,articulacion_del_seguimiento_institucional,coordinador,funcional,content/restructuring-v1/docente/gestion/coordinador/funcional/IDD_B05_I04.json,"content/items/stand-by/Docente de apoyo, orientador y valoración pedagógica/IDD_B05_I04.json",L013-A,LISTO_PARA_PILOTAJE,,auditoria/L013,no,,content/items/beta-v1/gestion/IDD_B05_I04.json,"La clave es A porque el problema central es la falta de articulación; la solución exige coordinación y seguimiento compartido, no delegación a un solo actor."
